path,source,label,is_labeled,x,y
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_1.bmp,ideal,(1 x 1),True,-17.156353,4.272729
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_13.bmp,ideal,(1 x 1),True,-14.425611,7.225138
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_14.bmp,ideal,(1 x 1),True,-13.945207,8.621413
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_15.bmp,ideal,(1 x 1),True,-14.242011,8.455719
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_16.bmp,ideal,(1 x 1),True,-13.804319,8.630172
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_17.bmp,ideal,(1 x 1),True,-13.991082,8.30728
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_18.bmp,ideal,(1 x 1),True,-13.980758,8.645902
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_19.bmp,ideal,(1 x 1),True,-12.973014,8.796457
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_20.bmp,ideal,(1 x 1),True,-11.811881,-9.954296
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_21.bmp,ideal,(1 x 1),True,-16.539812,5.057435
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_22.bmp,ideal,(1 x 1),True,-14.037799,7.068145
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_23.bmp,ideal,(1 x 1),True,-13.993452,5.963672
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_24.bmp,ideal,(1 x 1),True,-13.456982,5.5516615
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_25.bmp,ideal,(1 x 1),True,-12.812664,-10.010159
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_26.bmp,ideal,(1 x 1),True,-12.706888,-9.946811
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_27.bmp,ideal,(1 x 1),True,-12.4854,-9.743202
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_28.bmp,ideal,(1 x 1),True,-17.715206,6.5984216
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_29.bmp,ideal,(1 x 1),True,-17.601994,5.052818
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_30.bmp,ideal,(1 x 1),True,-17.731115,5.607003
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_31.bmp,ideal,(1 x 1),True,-18.114511,5.3758073
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_32.bmp,ideal,(1 x 1),True,-17.737906,5.958482
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_33.bmp,ideal,(1 x 1),True,-17.891996,6.3869214
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_34.bmp,ideal,(1 x 1),True,-17.108757,5.4994817
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_35.bmp,ideal,(1 x 1),True,-17.863472,5.4980483
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_36.bmp,ideal,(1 x 1),True,-17.117325,5.256526
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_37.bmp,ideal,(1 x 1),True,-17.621212,5.1084604
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_38.bmp,ideal,(1 x 1),True,-16.622705,4.7787404
