path,source,label,is_labeled,x,y
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_1.bmp,ideal,(1 x 1),True,-26.92474,32.33918
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_13.bmp,ideal,(1 x 1),True,-24.170452,32.641888
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_14.bmp,ideal,(1 x 1),True,-24.018396,32.947475
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_15.bmp,ideal,(1 x 1),True,-24.072803,32.91042
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_16.bmp,ideal,(1 x 1),True,-24.018372,32.922142
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_17.bmp,ideal,(1 x 1),True,-23.999073,32.85745
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_18.bmp,ideal,(1 x 1),True,-23.984112,32.876453
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_19.bmp,ideal,(1 x 1),True,-23.959553,32.883865
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_20.bmp,ideal,(1 x 1),True,-7.452903,-37.66176
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_21.bmp,ideal,(1 x 1),True,-26.828196,32.626427
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_22.bmp,ideal,(1 x 1),True,-23.158045,28.225492
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_23.bmp,ideal,(1 x 1),True,-24.219435,32.458282
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_24.bmp,ideal,(1 x 1),True,-24.227268,32.426033
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_25.bmp,ideal,(1 x 1),True,-15.435365,-44.13575
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_26.bmp,ideal,(1 x 1),True,-14.189397,-43.065456
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_27.bmp,ideal,(1 x 1),True,-13.726807,-41.37631
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_28.bmp,ideal,(1 x 1),True,-27.23433,33.03746
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_29.bmp,ideal,(1 x 1),True,-27.730778,32.901653
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_30.bmp,ideal,(1 x 1),True,-27.951801,32.74246
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_31.bmp,ideal,(1 x 1),True,-27.71528,32.909775
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_32.bmp,ideal,(1 x 1),True,-27.291296,32.614185
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_33.bmp,ideal,(1 x 1),True,-27.327282,32.944855
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_34.bmp,ideal,(1 x 1),True,-26.965975,32.813778
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_35.bmp,ideal,(1 x 1),True,-27.524662,32.988194
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_36.bmp,ideal,(1 x 1),True,-27.0507,32.31343
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_37.bmp,ideal,(1 x 1),True,-27.293737,32.468014
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_38.bmp,ideal,(1 x 1),True,-26.964392,32.233562
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_39.bmp,ideal,(1 x 1),True,-27.958122,32.58835
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_40.bmp,ideal,(1 x 1),True,-27.3286,31.86762
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_41.bmp,ideal,(1 x 1),True,-28.0763,32.175434
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_42.bmp,ideal,(1 x 1),True,-28.000568,32.176956
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_43.bmp,ideal,(1 x 1),True,-27.96948,32.033447
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_44.bmp,ideal,(1 x 1),True,-27.615946,31.863894
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_45.bmp,ideal,(1 x 1),True,-27.97874,32.389103
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_46.bmp,ideal,(1 x 1),True,-27.484005,31.900839
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_47.bmp,ideal,(1 x 1),True,-27.822107,31.811361
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_48.bmp,ideal,(1 x 1),True,-27.279491,31.883253
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_49.bmp,ideal,(1 x 1),True,-15.596029,-45.33168
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_50.bmp,ideal,(1 x 1),True,-15.948068,-44.69152
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_51.bmp,ideal,(1 x 1),True,-12.207177,-42.725567
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_52.bmp,ideal,(1 x 1),True,-11.431809,-40.4464
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_1.bmp,ideal,Twinned(2 x 1),True,53.64727,-5.497146
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_2.bmp,ideal,Twinned(2 x 1),True,29.997763,13.49413
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_3.bmp,ideal,Twinned(2 x 1),True,24.846933,-15.311673
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_4.bmp,ideal,Twinned(2 x 1),True,23.850035,7.4172835
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/Twinned2x1_5_(!).bmp,ideal,c(6 x 2),True,1.8802657,35.275467
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/Twinned2x1_6(!).bmp,ideal,c(6 x 2),True,1.2708259,32.56837
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_1.bmp,ideal,c(6 x 2),True,-20.298649,25.027697
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_10.bmp,ideal,c(6 x 2),True,-19.116478,23.62574
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_11.bmp,ideal,c(6 x 2),True,-19.540888,24.097397
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_12.bmp,ideal,c(6 x 2),True,-17.80796,-6.086416
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_13.bmp,ideal,c(6 x 2),True,-17.81695,-6.081558
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_14.bmp,ideal,c(6 x 2),True,-17.811,-6.076823
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_15.bmp,ideal,c(6 x 2),True,-17.762753,-6.1033144
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_16.bmp,ideal,c(6 x 2),True,-17.687511,-6.1237745
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_17.bmp,ideal,c(6 x 2),True,-21.8736,31.879065
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_18.bmp,ideal,c(6 x 2),True,-20.326372,25.068007
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_19.bmp,ideal,c(6 x 2),True,-20.452381,25.225838
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_2.bmp,ideal,c(6 x 2),True,-20.422976,25.192165
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_20.bmp,ideal,c(6 x 2),True,-22.672,27.033087
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_21.bmp,ideal,c(6 x 2),True,-21.778507,27.400805
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_22.bmp,ideal,c(6 x 2),True,-22.218435,27.295849
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_23.bmp,ideal,c(6 x 2),True,-22.362755,27.945698
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_24.bmp,ideal,c(6 x 2),True,-22.315609,27.806541
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_3.bmp,ideal,c(6 x 2),True,-20.38575,25.136581
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_4.bmp,ideal,c(6 x 2),True,-21.840372,27.615995
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_5.bmp,ideal,c(6 x 2),True,-22.496515,27.836182
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_6.bmp,ideal,c(6 x 2),True,-22.808064,27.696203
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_7.bmp,ideal,c(6 x 2),True,-21.608175,26.866852
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_8.bmp,ideal,c(6 x 2),True,-21.996065,26.630413
