path,source,label,is_labeled,x,y
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_1.bmp,ideal,(1 x 1),True,81.85155,114.60212
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_13.bmp,ideal,(1 x 1),True,-13.609836,24.121798
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_14.bmp,ideal,(1 x 1),True,-28.286825,17.41826
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_15.bmp,ideal,(1 x 1),True,-12.708691,20.406017
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_16.bmp,ideal,(1 x 1),True,-24.51874,17.898188
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_17.bmp,ideal,(1 x 1),True,-22.981163,20.348927
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_18.bmp,ideal,(1 x 1),True,-9.227664,23.123276
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_19.bmp,ideal,(1 x 1),True,-18.082775,23.111317
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_20.bmp,ideal,(1 x 1),True,-28.269594,-1.5074173
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_21.bmp,ideal,(1 x 1),True,74.8744,113.38238
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_22.bmp,ideal,(1 x 1),True,53.48016,101.591835
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_23.bmp,ideal,(1 x 1),True,-16.076439,22.44632
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_24.bmp,ideal,(1 x 1),True,-8.228538,24.13134
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_25.bmp,ideal,(1 x 1),True,-39.844032,-5.6927466
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_26.bmp,ideal,(1 x 1),True,-35.634167,-3.3798099
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_27.bmp,ideal,(1 x 1),True,-32.90487,-2.228874
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_28.bmp,ideal,(1 x 1),True,78.24203,120.42355
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_29.bmp,ideal,(1 x 1),True,90.64475,122.28317
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_30.bmp,ideal,(1 x 1),True,97.10929,122.88399
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_31.bmp,ideal,(1 x 1),True,90.57225,121.625626
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_32.bmp,ideal,(1 x 1),True,79.38739,117.967285
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_33.bmp,ideal,(1 x 1),True,76.55111,114.24697
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_34.bmp,ideal,(1 x 1),True,73.852036,112.73268
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_35.bmp,ideal,(1 x 1),True,80.901794,114.69229
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_36.bmp,ideal,(1 x 1),True,77.87696,114.202484
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_37.bmp,ideal,(1 x 1),True,80.78243,114.19744
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_38.bmp,ideal,(1 x 1),True,76.55181,112.40667
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_39.bmp,ideal,(1 x 1),True,69.837204,114.79318
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_40.bmp,ideal,(1 x 1),True,71.23305,115.242065
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_41.bmp,ideal,(1 x 1),True,82.96767,117.01831
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_42.bmp,ideal,(1 x 1),True,85.51241,119.9275
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_43.bmp,ideal,(1 x 1),True,73.27177,116.12895
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_44.bmp,ideal,(1 x 1),True,76.30905,116.30578
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_45.bmp,ideal,(1 x 1),True,70.04474,115.725784
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_46.bmp,ideal,(1 x 1),True,73.552086,116.325134
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_47.bmp,ideal,(1 x 1),True,92.909805,117.42426
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_48.bmp,ideal,(1 x 1),True,83.95429,121.42283
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_49.bmp,ideal,(1 x 1),True,-39.71293,-5.617977
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_50.bmp,ideal,(1 x 1),True,-39.655987,-5.603187
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_51.bmp,ideal,(1 x 1),True,-33.5423,-2.6555943
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_52.bmp,ideal,(1 x 1),True,-31.856106,-2.1073008
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_1.bmp,ideal,Twinned(2 x 1),True,-26.008934,1.2782208
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_2.bmp,ideal,Twinned(2 x 1),True,-69.588905,-30.488297
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_3.bmp,ideal,Twinned(2 x 1),True,-33.669456,-13.918507
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_4.bmp,ideal,Twinned(2 x 1),True,-75.56604,-38.75028
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/Twinned2x1_5_(!).bmp,ideal,c(6 x 2),True,-11.63117,11.414123
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/Twinned2x1_6(!).bmp,ideal,c(6 x 2),True,-11.579385,10.610673
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_1.bmp,ideal,c(6 x 2),True,-38.628574,24.102116
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_10.bmp,ideal,c(6 x 2),True,-55.071766,11.478383
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_11.bmp,ideal,c(6 x 2),True,-45.61342,17.392876
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_12.bmp,ideal,c(6 x 2),True,-54.204838,9.033159
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_13.bmp,ideal,c(6 x 2),True,-51.21693,10.991704
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_14.bmp,ideal,c(6 x 2),True,-46.427128,13.778709
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_15.bmp,ideal,c(6 x 2),True,-32.786785,20.190378
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_16.bmp,ideal,c(6 x 2),True,-34.687973,25.544199
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_17.bmp,ideal,c(6 x 2),True,-65.88813,-15.194636
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_18.bmp,ideal,c(6 x 2),True,-38.002632,23.843355
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_19.bmp,ideal,c(6 x 2),True,-35.04417,25.859137
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_2.bmp,ideal,c(6 x 2),True,-37.57133,25.610205
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_20.bmp,ideal,c(6 x 2),True,1.3618109,53.786007
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_21.bmp,ideal,c(6 x 2),True,0.9678338,53.466007
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_22.bmp,ideal,c(6 x 2),True,0.7944248,53.414803
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_23.bmp,ideal,c(6 x 2),True,9.319939,62.096264
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_24.bmp,ideal,c(6 x 2),True,-0.23696016,58.517143
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_3.bmp,ideal,c(6 x 2),True,-30.235159,28.686726
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_4.bmp,ideal,c(6 x 2),True,0.8843336,53.41188
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_5.bmp,ideal,c(6 x 2),True,1.473152,60.638367
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_6.bmp,ideal,c(6 x 2),True,3.052459,63.36671
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_7.bmp,ideal,c(6 x 2),True,-4.060889,50.23899
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_8.bmp,ideal,c(6 x 2),True,-3.763536,51.879875
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_9.bmp,ideal,c(6 x 2),True,0.27789977,55.127388
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_25.bmp,ideal,c(6 x 2),True,-39.346535,23.206287
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_26.bmp,ideal,c(6 x 2),True,-40.57688,23.210415
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_27.bmp,ideal,c(6 x 2),True,-36.115086,24.92358
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_28.bmp,ideal,c(6 x 2),True,-36.241314,24.18981
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_29.bmp,ideal,c(6 x 2),True,-6.501718,49.175842
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_30.bmp,ideal,c(6 x 2),True,-0.49916035,51.423744
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_31.bmp,ideal,c(6 x 2),True,-0.8873552,51.097374
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_32.bmp,ideal,c(6 x 2),True,0.53057337,53.194687
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_33.bmp,ideal,c(6 x 2),True,-9.404422,49.77945
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_34.bmp,ideal,c(6 x 2),True,-0.9207178,53.48155
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_35.bmp,ideal,c(6 x 2),True,0.9678338,53.466007
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_36.bmp,ideal,c(6 x 2),True,-0.8099384,51.039577
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_37.bmp,ideal,c(6 x 2),True,-3.1312726,53.08016
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_38.bmp,ideal,c(6 x 2),True,-0.44352606,56.322227
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_39.bmp,ideal,c(6 x 2),True,-2.181476,57.604935
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_40.bmp,ideal,c(6 x 2),True,3.526808,60.11461
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_1.png,ideal,RT13,True,1784.5527,-13.160567
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_10.png,ideal,RT13,True,1842.9362,-63.716515
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_11.png,ideal,RT13,True,-62.200172,-29.02427
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_14.png,ideal,RT13,True,-33.3931,-11.509674
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_15.png,ideal,RT13,True,-15.683701,5.3396153
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_16.png,ideal,RT13,True,-29.819672,-8.249887
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_17.png,ideal,RT13,True,-26.299627,-9.152572
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_18.png,ideal,RT13,True,-39.44548,-17.416721
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_19.png,ideal,RT13,True,-10.808541,13.285431
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_20.png,ideal,RT13,True,-8.062946,18.918734
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_21.png,ideal,RT13,True,-92.99111,-37.58029
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_22.png,ideal,RT13,True,-90.07859,-33.925568
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_23.png,ideal,RT13,True,-89.64399,-34.075264
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_24.bmp,ideal,RT13,True,-98.8423,-19.900242
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_25.bmp,ideal,RT13,True,-78.098564,-7.620622
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_26.bmp,ideal,RT13,True,-90.9789,-26.879826
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_27.bmp,ideal,RT13,True,-75.83743,-21.161173
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_28.bmp,ideal,RT13,True,-9.497032,16.08428
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_29.bmp,ideal,RT13,True,-11.142869,12.323374
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_3.png,ideal,RT13,True,1807.3334,-6.208278
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_30.bmp,ideal,RT13,True,-11.531093,11.514587
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_31.bmp,ideal,RT13,True,-11.903665,9.909129
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_32.bmp,ideal,RT13,True,-11.903665,9.909129
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_33.bmp,ideal,RT13,True,-11.990785,9.791085
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_34.bmp,ideal,RT13,True,-12.556101,9.210426
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_35.bmp,ideal,RT13,True,-12.691662,8.971098
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_36.bmp,ideal,RT13,True,-12.691662,8.971098
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_37.bmp,ideal,RT13,True,-12.667783,8.95852
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_38.bmp,ideal,RT13,True,-14.39368,7.2808256
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_39.bmp,ideal,RT13,True,-14.667013,7.012732
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_40.bmp,ideal,RT13,True,-14.950265,6.5101495
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_41.bmp,ideal,RT13,True,-15.293392,6.115348
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_42.bmp,ideal,RT13,True,-15.501405,5.364922
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_5.png,ideal,RT13,True,1803.8483,1.6396713
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_6.png,ideal,RT13,True,1832.4575,-58.855778
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_7.png,ideal,RT13,True,1844.7067,-42.30166
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_8.png,ideal,RT13,True,1810.3796,-0.588019
/content/quantum rheed codex/data/original data/STO_ideal_RT13/RT13_9.png,ideal,RT13,True,1820.3798,-35.83024
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_1.png,ideal,HTR,True,1788.8312,19.494625
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_10.png,ideal,HTR,True,1880.3153,-64.24737
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_11.png,ideal,HTR,True,1776.7828,22.243587
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_12.png,ideal,HTR,True,2.9359057,23.990152
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_13.png,ideal,HTR,True,-38.309895,3.0251257
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_14.png,ideal,HTR,True,48.258263,64.51832
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_19.png,ideal,HTR,True,-24.793968,-5.344104
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_2.png,ideal,HTR,True,1862.705,-50.16943
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_20.bmp,ideal,HTR,True,-20.915588,2.3764975
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_20.png,ideal,HTR,True,-14.795048,5.9417477
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_21.bmp,ideal,HTR,True,-14.799285,5.907906
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_22.png,ideal,HTR,True,-26.671194,3.4117663
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_23.bmp,ideal,HTR,True,-22.249466,2.3635755
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_24.bmp,ideal,HTR,True,-21.573011,2.5255191
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_25.bmp,ideal,HTR,True,-21.103785,2.6858296
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_26.bmp,ideal,HTR,True,-20.46298,2.4525228
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_27.bmp,ideal,HTR,True,-20.46298,2.4525228
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_28.bmp,ideal,HTR,True,-20.915588,2.3764975
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_29.bmp,ideal,HTR,True,-19.281134,3.2799797
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_3.png,ideal,HTR,True,1838.0646,-39.101215
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_30.bmp,ideal,HTR,True,-18.903418,3.4014015
/content/quantum rheed codex/data/original data/STO_ideal_HTR/HTR_31.bmp,ideal,HTR,True,-16.516724,5.1592565
