path,source,label,is_labeled,x,y
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_1.bmp,ideal,(1 x 1),True,40.500374,-24.952497
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_13.bmp,ideal,(1 x 1),True,-5.8959236,-9.634433
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_14.bmp,ideal,(1 x 1),True,-6.292456,-9.494808
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_15.bmp,ideal,(1 x 1),True,-6.2330112,-9.496847
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_16.bmp,ideal,(1 x 1),True,-6.2748184,-9.501834
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_17.bmp,ideal,(1 x 1),True,-6.254499,-9.508131
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_18.bmp,ideal,(1 x 1),True,-6.2049417,-9.503432
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_19.bmp,ideal,(1 x 1),True,-6.249289,-9.507812
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_20.bmp,ideal,(1 x 1),True,19.291698,-11.662676
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_21.bmp,ideal,(1 x 1),True,39.93227,-24.934755
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_22.bmp,ideal,(1 x 1),True,39.034367,-24.889095
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_23.bmp,ideal,(1 x 1),True,-5.7734723,-9.683371
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_24.bmp,ideal,(1 x 1),True,-5.738876,-9.695295
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_25.bmp,ideal,(1 x 1),True,17.323643,-23.593138
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_26.bmp,ideal,(1 x 1),True,18.397654,-21.152761
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_27.bmp,ideal,(1 x 1),True,19.072445,-18.650738
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_28.bmp,ideal,(1 x 1),True,40.23894,-25.844168
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_29.bmp,ideal,(1 x 1),True,40.71109,-25.649593
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_30.bmp,ideal,(1 x 1),True,40.88012,-25.423735
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_31.bmp,ideal,(1 x 1),True,40.729015,-25.59315
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_32.bmp,ideal,(1 x 1),True,40.241917,-25.80692
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_33.bmp,ideal,(1 x 1),True,39.962723,-25.761574
