path,source,label,is_labeled,x,y
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_1.bmp,ideal,(1 x 1),True,-0.22452836,-36.916504
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_13.bmp,ideal,(1 x 1),True,16.520748,-6.57589
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_14.bmp,ideal,(1 x 1),True,10.804435,-4.0856843
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_15.bmp,ideal,(1 x 1),True,10.343733,-7.052462
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_16.bmp,ideal,(1 x 1),True,9.451621,-5.739202
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_17.bmp,ideal,(1 x 1),True,9.458743,-6.4382367
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_18.bmp,ideal,(1 x 1),True,9.623831,-8.777382
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_19.bmp,ideal,(1 x 1),True,7.7343144,-8.27096
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_20.bmp,ideal,(1 x 1),True,-1.9071926,2.3249092
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_21.bmp,ideal,(1 x 1),True,-0.25773445,-36.33343
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_22.bmp,ideal,(1 x 1),True,0.2459401,-32.2205
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_23.bmp,ideal,(1 x 1),True,17.7446,-6.402157
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_24.bmp,ideal,(1 x 1),True,17.774052,-7.3074903
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_25.bmp,ideal,(1 x 1),True,2.915289,2.318317
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_26.bmp,ideal,(1 x 1),True,2.779901,1.4010638
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_27.bmp,ideal,(1 x 1),True,2.0797029,1.3269917
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_28.bmp,ideal,(1 x 1),True,-1.8559858,-38.57557
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_29.bmp,ideal,(1 x 1),True,-1.332477,-39.362926
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_30.bmp,ideal,(1 x 1),True,-1.0269277,-39.573402
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_31.bmp,ideal,(1 x 1),True,-1.2147301,-39.16652
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_32.bmp,ideal,(1 x 1),True,-0.83954495,-37.66449
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_33.bmp,ideal,(1 x 1),True,-0.44393677,-36.68377
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_34.bmp,ideal,(1 x 1),True,-0.37137032,-36.219467
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_35.bmp,ideal,(1 x 1),True,-0.16451831,-36.826653
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_36.bmp,ideal,(1 x 1),True,-0.23043466,-36.491333
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_37.bmp,ideal,(1 x 1),True,-0.192047,-36.677193
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_38.bmp,ideal,(1 x 1),True,-0.17354797,-36.157127
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_39.bmp,ideal,(1 x 1),True,-0.9212192,-36.43856
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_40.bmp,ideal,(1 x 1),True,-1.4261178,-37.158836
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_41.bmp,ideal,(1 x 1),True,-1.0567697,-37.996986
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_42.bmp,ideal,(1 x 1),True,-1.0912701,-38.527157
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_43.bmp,ideal,(1 x 1),True,-1.6399847,-37.399906
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_44.bmp,ideal,(1 x 1),True,-1.3452166,-37.44818
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_45.bmp,ideal,(1 x 1),True,-1.6634699,-37.062973
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_46.bmp,ideal,(1 x 1),True,-1.560659,-37.369198
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_47.bmp,ideal,(1 x 1),True,-1.1109,-38.780117
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_48.bmp,ideal,(1 x 1),True,-1.9779661,-39.098637
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_49.bmp,ideal,(1 x 1),True,2.8635147,2.3113298
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_50.bmp,ideal,(1 x 1),True,2.891589,2.4685168
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_51.bmp,ideal,(1 x 1),True,2.1138747,1.4288281
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_52.bmp,ideal,(1 x 1),True,1.5548398,1.5062714
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_1.bmp,ideal,Twinned(2 x 1),True,6.430769,1.5682448
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_2.bmp,ideal,Twinned(2 x 1),True,3.8746297,14.9100895
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_3.bmp,ideal,Twinned(2 x 1),True,11.476336,4.6778846
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_4.bmp,ideal,Twinned(2 x 1),True,-2.2205734,19.149046
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/Twinned2x1_5_(!).bmp,ideal,c(6 x 2),True,15.778092,0.3119578
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/Twinned2x1_6(!).bmp,ideal,c(6 x 2),True,14.464322,-0.98103946
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_1.bmp,ideal,c(6 x 2),True,10.305816,-9.896285
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_10.bmp,ideal,c(6 x 2),True,13.959354,-4.588734
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_11.bmp,ideal,c(6 x 2),True,11.0800905,-7.5346427
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_12.bmp,ideal,c(6 x 2),True,7.1187162,-7.168083
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_13.bmp,ideal,c(6 x 2),True,6.7918863,-8.530981
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_14.bmp,ideal,c(6 x 2),True,6.744575,-8.667636
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_15.bmp,ideal,c(6 x 2),True,5.960632,-11.748584
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_16.bmp,ideal,c(6 x 2),True,6.4578414,-9.875274
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_17.bmp,ideal,c(6 x 2),True,13.99522,5.24621
