path,source,label,is_labeled,x,y
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_1.bmp,ideal,(1 x 1),True,24.156439,-39.34628
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_13.bmp,ideal,(1 x 1),True,29.08706,-23.637245
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_14.bmp,ideal,(1 x 1),True,29.049139,-24.359808
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_15.bmp,ideal,(1 x 1),True,29.04357,-24.373554
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_16.bmp,ideal,(1 x 1),True,29.042517,-24.407574
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_17.bmp,ideal,(1 x 1),True,29.041063,-24.40725
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_18.bmp,ideal,(1 x 1),True,29.037012,-24.424099
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_19.bmp,ideal,(1 x 1),True,29.030708,-24.511414
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_20.bmp,ideal,(1 x 1),True,-20.611559,11.294738
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_21.bmp,ideal,(1 x 1),True,24.210989,-38.88592
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_22.bmp,ideal,(1 x 1),True,24.427889,-38.077534
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_23.bmp,ideal,(1 x 1),True,29.093729,-23.49131
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_24.bmp,ideal,(1 x 1),True,29.09136,-23.496176
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_25.bmp,ideal,(1 x 1),True,-25.46591,22.399952
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_26.bmp,ideal,(1 x 1),True,-24.47723,20.170296
/content/quantum rheed codex/data/original data/STO_ideal_1x1/1x1_27.bmp,ideal,(1 x 1),True,-23.45812,17.96418
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_28.bmp,ideal,(1 x 1),True,25.060654,-39.365532
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_29.bmp,ideal,(1 x 1),True,24.804346,-39.70485
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_30.bmp,ideal,(1 x 1),True,24.768015,-39.752117
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_31.bmp,ideal,(1 x 1),True,24.50796,-39.73211
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_32.bmp,ideal,(1 x 1),True,24.870594,-39.29003
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_33.bmp,ideal,(1 x 1),True,24.105633,-39.19152
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_34.bmp,ideal,(1 x 1),True,24.332867,-38.77031
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_35.bmp,ideal,(1 x 1),True,24.132013,-39.327595
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_36.bmp,ideal,(1 x 1),True,24.216581,-38.923336
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_37.bmp,ideal,(1 x 1),True,24.093645,-39.205116
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_38.bmp,ideal,(1 x 1),True,24.178017,-38.874187
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_39.bmp,ideal,(1 x 1),True,24.552624,-38.66293
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_40.bmp,ideal,(1 x 1),True,24.874243,-38.77871
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_41.bmp,ideal,(1 x 1),True,25.02614,-39.295216
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_42.bmp,ideal,(1 x 1),True,24.376537,-39.5737
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_43.bmp,ideal,(1 x 1),True,24.931704,-38.816242
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_44.bmp,ideal,(1 x 1),True,24.998928,-38.93923
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_45.bmp,ideal,(1 x 1),True,24.728855,-38.658245
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_46.bmp,ideal,(1 x 1),True,24.91417,-38.817265
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_47.bmp,ideal,(1 x 1),True,24.415937,-39.710674
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_48.bmp,ideal,(1 x 1),True,25.084137,-39.382145
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_49.bmp,ideal,(1 x 1),True,-25.753653,22.14018
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_50.bmp,ideal,(1 x 1),True,-26.043736,22.216215
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_51.bmp,ideal,(1 x 1),True,-23.826687,18.264355
/content/quantum rheed codex/data/original data/STO_ideal_1x1/ideal_1x1_52.bmp,ideal,(1 x 1),True,-22.924517,16.825922
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_1.bmp,ideal,Twinned(2 x 1),True,16.104095,17.762035
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_2.bmp,ideal,Twinned(2 x 1),True,-5.2016006,38.258194
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_3.bmp,ideal,Twinned(2 x 1),True,21.695845,49.19657
/content/quantum rheed codex/data/original data/STO_ideal_Twinned2x1/Twinned2x1_4.bmp,ideal,Twinned(2 x 1),True,-4.9236965,43.355206
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/Twinned2x1_5_(!).bmp,ideal,c(6 x 2),True,34.396847,-8.672311
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/Twinned2x1_6(!).bmp,ideal,c(6 x 2),True,30.864973,-9.797952
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_1.bmp,ideal,c(6 x 2),True,26.154036,-27.085854
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_10.bmp,ideal,c(6 x 2),True,25.95624,-25.990355
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_11.bmp,ideal,c(6 x 2),True,25.932108,-26.599869
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_12.bmp,ideal,c(6 x 2),True,25.04574,-27.275284
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_13.bmp,ideal,c(6 x 2),True,25.074907,-27.34016
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_14.bmp,ideal,c(6 x 2),True,25.073523,-27.373951
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_15.bmp,ideal,c(6 x 2),True,25.184427,-27.621199
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_16.bmp,ideal,c(6 x 2),True,25.077002,-27.534956
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_17.bmp,ideal,c(6 x 2),True,37.836502,-0.28536668
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_18.bmp,ideal,c(6 x 2),True,26.1695,-27.078758
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_19.bmp,ideal,c(6 x 2),True,26.27032,-27.179499
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_2.bmp,ideal,c(6 x 2),True,26.213758,-27.112782
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_20.bmp,ideal,c(6 x 2),True,27.186913,-29.615686
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_21.bmp,ideal,c(6 x 2),True,27.642233,-29.371742
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_22.bmp,ideal,c(6 x 2),True,28.005928,-29.166079
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_23.bmp,ideal,c(6 x 2),True,28.121906,-29.839386
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_24.bmp,ideal,c(6 x 2),True,28.104904,-29.541798
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_3.bmp,ideal,c(6 x 2),True,26.402422,-27.426369
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_4.bmp,ideal,c(6 x 2),True,28.02876,-29.1965
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_5.bmp,ideal,c(6 x 2),True,27.821478,-29.934278
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_6.bmp,ideal,c(6 x 2),True,27.873993,-30.045353
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_7.bmp,ideal,c(6 x 2),True,27.235882,-28.963167
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_8.bmp,ideal,c(6 x 2),True,27.082481,-29.319296
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/c6x2_9.bmp,ideal,c(6 x 2),True,27.352661,-29.984024
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_25.bmp,ideal,c(6 x 2),True,26.12439,-27.031124
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_26.bmp,ideal,c(6 x 2),True,26.06927,-27.023447
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_27.bmp,ideal,c(6 x 2),True,26.236788,-27.178663
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_28.bmp,ideal,c(6 x 2),True,26.204844,-27.143581
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_29.bmp,ideal,c(6 x 2),True,27.260046,-28.820276
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_30.bmp,ideal,c(6 x 2),True,27.756756,-28.897598
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_31.bmp,ideal,c(6 x 2),True,27.697529,-28.857695
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_32.bmp,ideal,c(6 x 2),True,28.007662,-29.073492
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_33.bmp,ideal,c(6 x 2),True,27.174435,-28.875902
/content/quantum rheed codex/data/original data/STO_ideal_c6x2/ideal_c6x2_34.bmp,ideal,c(6 x 2),True,27.141508,-29.49407
