representation,projection,class,median_within_class_distance_2d,median_nearest_other_class_distance_2d,separation_ratio_2d
rheed_simclr_resnet18,pca,(1 x 1),20.98367994378001,9.661441077820035,0.46042644110590725
rheed_simclr_resnet18,pca,HTR,25.597195319471695,3.2765823595960137,0.1280055224293862
rheed_simclr_resnet18,pca,RT13,11.188973432649698,1.5530654050108017,0.13880320785094716
rheed_simclr_resnet18,pca,Twinned(2 x 1),13.16571024421955,5.948001309134907,0.45177975200740855
rheed_simclr_resnet18,pca,c(6 x 2),6.947350419365425,7.951057996609418,1.1444734347134993
rheed_simclr_resnet18,tsne,(1 x 1),15.34868018750964,1.8020412409757254,0.1174069183122455
rheed_simclr_resnet18,tsne,HTR,23.28505591731113,32.054865779155634,1.3766282500238551
rheed_simclr_resnet18,tsne,RT13,29.23955155791929,1.962417566565189,0.06711517318170648
rheed_simclr_resnet18,tsne,Twinned(2 x 1),29.300228537332245,10.830258291675051,0.36963050571008055
rheed_simclr_resnet18,tsne,c(6 x 2),2.3659717614832254,4.7785824910926955,2.019712394241344
imagenet_resnet18,pca,(1 x 1),4.029848708682794,4.331548081483689,1.0748661785120737
imagenet_resnet18,pca,HTR,11.833842438297781,2.460852849568125,0.20795044909539137
imagenet_resnet18,pca,RT13,11.900413277214799,2.1513383520674902,0.18077845718069
imagenet_resnet18,pca,Twinned(2 x 1),2.354587787510288,1.1508741024199676,0.48877944093852943
imagenet_resnet18,pca,c(6 x 2),4.895852553756742,1.4397117491282423,0.29406762832828903
imagenet_resnet18,tsne,(1 x 1),3.5129468528853205,5.279224796996032,1.5027909666950978
imagenet_resnet18,tsne,HTR,19.12037465597,24.667735920740906,1.290128272305524
imagenet_resnet18,tsne,RT13,23.68482452884949,2.806251497397759,0.11848310271328301
imagenet_resnet18,tsne,Twinned(2 x 1),29.796832685041032,11.468385876165835,0.38488607152945264
imagenet_resnet18,tsne,c(6 x 2),2.91555999391007,1.9507999276309185,0.6690995663631303
