representation,projection,class,support,knn_recall_at_5,knn_precision_at_5,median_within_class_distance_2d,median_nearest_other_class_distance_2d,separation_ratio_2d
rheed_simclr_resnet18,pca,(1 x 1),41,0.926829268292683,0.8636363636363636,20.98367994378001,9.661441077820035,0.46042644110590725
rheed_simclr_resnet18,pca,HTR,29,0.7241379310344828,0.7,25.597195319471695,3.2765823595960137,0.1280055224293862
rheed_simclr_resnet18,pca,RT13,38,0.7368421052631579,0.6666666666666666,11.188973432649698,1.5530654050108017,0.13880320785094716
rheed_simclr_resnet18,pca,Twinned(2 x 1),4,0.0,,13.16571024421955,5.948001309134907,0.45177975200740855
rheed_simclr_resnet18,pca,c(6 x 2),42,0.8571428571428571,0.9473684210526315,6.947350419365425,7.951057996609418,1.1444734347134993
rheed_simclr_resnet18,tsne,(1 x 1),41,1.0,0.9111111111111111,15.34868018750964,1.8020412409757254,0.1174069183122455
rheed_simclr_resnet18,tsne,HTR,29,0.7931034482758621,0.8214285714285714,23.28505591731113,32.054865779155634,1.3766282500238551
rheed_simclr_resnet18,tsne,RT13,38,0.7631578947368421,0.7435897435897436,29.23955155791929,1.962417566565189,0.06711517318170648
rheed_simclr_resnet18,tsne,Twinned(2 x 1),4,0.0,0.0,29.300228537332245,10.830258291675051,0.36963050571008055
rheed_simclr_resnet18,tsne,c(6 x 2),42,0.9285714285714286,1.0,2.3659717614832254,4.7785824910926955,2.019712394241344
imagenet_resnet18,pca,(1 x 1),41,0.975609756097561,1.0,4.029848708682794,4.331548081483689,1.0748661785120737
imagenet_resnet18,pca,HTR,29,0.7931034482758621,0.71875,11.833842438297781,2.460852849568125,0.20795044909539137
imagenet_resnet18,pca,RT13,38,0.7105263157894737,0.7105263157894737,11.900413277214799,2.1513383520674902,0.18077845718069
imagenet_resnet18,pca,Twinned(2 x 1),4,0.25,0.25,2.354587787510288,1.1508741024199676,0.48877944093852943
imagenet_resnet18,pca,c(6 x 2),42,0.8809523809523809,0.925,4.895852553756742,1.4397117491282423,0.29406762832828903
imagenet_resnet18,tsne,(1 x 1),41,0.975609756097561,1.0,3.5129468528853205,5.279224796996032,1.5027909666950978
imagenet_resnet18,tsne,HTR,29,0.8620689655172413,0.8928571428571429,19.12037465597,24.667735920740906,1.290128272305524
imagenet_resnet18,tsne,RT13,38,0.8421052631578947,0.7804878048780488,23.68482452884949,2.806251497397759,0.11848310271328301
imagenet_resnet18,tsne,Twinned(2 x 1),4,0.25,0.25,29.796832685041032,11.468385876165835,0.38488607152945264
imagenet_resnet18,tsne,c(6 x 2),42,0.9285714285714286,0.9512195121951219,2.91555999391007,1.9507999276309185,0.6690995663631303
