Image1_Path,Image1_Name,Image2_Path,Image2_Name,Reconstruction_Type,Winner,Labeler_Name,Notes,Created_At,Brightness_1,Brightness_2,Confidence,canonical_type,pair_id,resolved_img1,resolved_img2,type_idx,confidence_weight
Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp,044_RR220204A_348C_0157.bmp,Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,059_RR220204A_180C_0211.bmp,(1 x 1),1,SY,,2025-12-10T17:02:50.595070,,,,(1 x 1),Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp || Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,/content/data/original data/Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp,/content/data/original data/Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,0,1.0
Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp,044_RR220204A_348C_0157.bmp,Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,059_RR220204A_180C_0211.bmp,(√13 x √13),1,SY,,2025-12-10T17:02:51.649320,,,,(√13 x √13),Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp || Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,/content/data/original data/Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp,/content/data/original data/Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,3,1.0
Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp,044_RR220204A_348C_0157.bmp,Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,059_RR220204A_180C_0211.bmp,Twinned(2 x 1),1,SY,,2025-12-10T17:02:52.338417,,,,Twinned(2 x 1),Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp || Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,/content/data/original data/Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp,/content/data/original data/Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,1,1.0
Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp,044_RR220204A_348C_0157.bmp,Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,059_RR220204A_180C_0211.bmp,HTR,not_apply,SY,,2025-12-10T17:02:53.031443,,,,HTR,Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp || Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,/content/data/original data/Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp,/content/data/original data/Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,4,1.0
Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp,044_RR220204A_348C_0157.bmp,Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,059_RR220204A_180C_0211.bmp,c(6 x 2),not_apply,SY,,2025-12-10T17:02:53.743362,,,,c(6 x 2),Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp || Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,/content/data/original data/Trajectories/2022-02-04/044_RR220204A_348C_0157.bmp,/content/data/original data/Trajectories/2022-02-04/059_RR220204A_180C_0211.bmp,2,1.0
Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,346_RR220204A_957C_2123.bmp,Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp,103_RR220204A_408C_1733.bmp,c(6 x 2),not_apply,HL,,2025-12-15T20:53:00.219674,,,,c(6 x 2),Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp || Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,/content/data/original data/Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,/content/data/original data/Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp,2,1.0
Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,346_RR220204A_957C_2123.bmp,Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp,103_RR220204A_408C_1733.bmp,HTR,not_apply,HL,,2025-12-15T20:53:01.364709,,,,HTR,Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp || Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,/content/data/original data/Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,/content/data/original data/Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp,4,1.0
Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,346_RR220204A_957C_2123.bmp,Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp,103_RR220204A_408C_1733.bmp,(√13 x √13),2,HL,,2025-12-15T20:53:02.544973,,,,(√13 x √13),Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp || Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,/content/data/original data/Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,/content/data/original data/Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp,3,1.0
Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,346_RR220204A_957C_2123.bmp,Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp,103_RR220204A_408C_1733.bmp,(1 x 1),not_apply,HL,,2025-12-15T20:53:03.640595,,,,(1 x 1),Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp || Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,/content/data/original data/Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,/content/data/original data/Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp,0,1.0
Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,346_RR220204A_957C_2123.bmp,Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp,103_RR220204A_408C_1733.bmp,Twinned(2 x 1),tie,HL,,2025-12-15T20:53:05.043278,,,,Twinned(2 x 1),Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp || Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,/content/data/original data/Trajectories/2022-02-04/346_RR220204A_957C_2123.bmp,/content/data/original data/Trajectories/2022-02-04/103_RR220204A_408C_1733.bmp,1,1.0
