strategy,round,budget_before,labeled_pairs,candidate_remaining,train_loss,train_pairwise_accuracy,test_accuracy,test_by_class,selected_pair_ids,revealed_preference_rows,selected_clusters,cluster_coverage,utilities,final
random,0,0,70,100,0.3321484412224606,0.7228464419475655,0.5333333333333333,"{""(1 x 1)"": {""correct"": 8, ""total"": 8, ""accuracy"": 1.0}, ""c(6 x 2)"": {""correct"": 1, ""total"": 8, ""accuracy"": 0.125}, ""(\u221a13 x \u221a13)"": {""correct"": 3, ""total"": 8, ""accuracy"": 0.375}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-02-04/230_RR220204A_695C_1902.bmp || Trajectories/2022-02-06/074_RR220206A_430C_1809.bmp"", ""Trajectories/2022-02-06/104_RR220206A_734C_1847.bmp || Trajectories/2022-02-06/207_RR220206A_875C_2114.bmp""]","{""Trajectories/2022-02-04/230_RR220204A_695C_1902.bmp || Trajectories/2022-02-06/074_RR220206A_430C_1809.bmp"": 2, ""Trajectories/2022-02-06/104_RR220206A_734C_1847.bmp || Trajectories/2022-02-06/207_RR220206A_875C_2114.bmp"": 2}","[1, 17]",2,"[{""candidate_pair_id"": ""Trajectories/2022-02-04/230_RR220204A_695C_1902.bmp || Trajectories/2022-02-06/074_RR220206A_430C_1809.bmp"", ""baseline_accuracy"": 0.36666666666666664, ""augmented_accuracy"": 0.36666666666666664, ""delta_accuracy"": 0.0, ""by_class_delta"": {""(1 x 1)"": -1.0, ""c(6 x 2)"": 0.875, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": 0.16666666666666663}, ""cache_hit"": true}, {""candidate_pair_id"": ""Trajectories/2022-02-06/104_RR220206A_734C_1847.bmp || Trajectories/2022-02-06/207_RR220206A_875C_2114.bmp"", ""baseline_accuracy"": 0.5333333333333333, ""augmented_accuracy"": 0.23333333333333334, ""delta_accuracy"": -0.3, ""by_class_delta"": {""(1 x 1)"": -1.0, ""c(6 x 2)"": -0.125, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": 0.0}, ""cache_hit"": false}]",
random,1,2,72,98,0.3234707578302214,0.8228782287822878,0.6333333333333333,"{""(1 x 1)"": {""correct"": 7, ""total"": 8, ""accuracy"": 0.875}, ""c(6 x 2)"": {""correct"": 5, ""total"": 8, ""accuracy"": 0.625}, ""(\u221a13 x \u221a13)"": {""correct"": 3, ""total"": 8, ""accuracy"": 0.375}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-02-06/090_RR220206A_568C_1828.bmp || Trajectories/2022-04-11/149_RR220411A_676C_1619.bmp"", ""Trajectories/2022-04-11/111_RR220411A_536C_1546.bmp || Trajectories/2022-04-11/175_RR220411A_765C_1645.bmp""]","{""Trajectories/2022-02-06/090_RR220206A_568C_1828.bmp || Trajectories/2022-04-11/149_RR220411A_676C_1619.bmp"": 5, ""Trajectories/2022-04-11/111_RR220411A_536C_1546.bmp || Trajectories/2022-04-11/175_RR220411A_765C_1645.bmp"": 4}","[8, 8]",1,"[{""candidate_pair_id"": ""Trajectories/2022-02-06/090_RR220206A_568C_1828.bmp || Trajectories/2022-04-11/149_RR220411A_676C_1619.bmp"", ""baseline_accuracy"": 0.6333333333333333, ""augmented_accuracy"": 0.26666666666666666, ""delta_accuracy"": -0.36666666666666664, ""by_class_delta"": {""(1 x 1)"": -0.75, ""c(6 x 2)"": -0.625, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": 0.0}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-04-11/111_RR220411A_536C_1546.bmp || Trajectories/2022-04-11/175_RR220411A_765C_1645.bmp"", ""baseline_accuracy"": 0.6333333333333333, ""augmented_accuracy"": 0.6, ""delta_accuracy"": -0.033333333333333326, ""by_class_delta"": {""(1 x 1)"": 0.0, ""c(6 x 2)"": -0.125, ""(\u221a13 x \u221a13)"": -0.25, ""HTR"": 0.33333333333333337}, ""cache_hit"": false}]",
random,2,4,74,96,0.3135444312152847,0.7964285714285714,0.6,"{""(1 x 1)"": {""correct"": 6, ""total"": 8, ""accuracy"": 0.75}, ""c(6 x 2)"": {""correct"": 6, ""total"": 8, ""accuracy"": 0.75}, ""(\u221a13 x \u221a13)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""HTR"": {""correct"": 6, ""total"": 6, ""accuracy"": 1.0}}","[""Trajectories/2022-02-06/049_RR220206A_205C_1737.bmp || Trajectories/2022-04-11/356_RR220411A_685C_1925.bmp"", ""Trajectories/2022-02-04/139_RR220204A_470C_1758.bmp || Trajectories/2022-04-11/372_RR220411A_636C_1935.bmp""]","{""Trajectories/2022-02-06/049_RR220206A_205C_1737.bmp || Trajectories/2022-04-11/356_RR220411A_685C_1925.bmp"": 5, ""Trajectories/2022-02-04/139_RR220204A_470C_1758.bmp || Trajectories/2022-04-11/372_RR220411A_636C_1935.bmp"": 5}","[3, 14]",2,"[{""candidate_pair_id"": ""Trajectories/2022-02-06/049_RR220206A_205C_1737.bmp || Trajectories/2022-04-11/356_RR220411A_685C_1925.bmp"", ""baseline_accuracy"": 0.6, ""augmented_accuracy"": 0.36666666666666664, ""delta_accuracy"": -0.23333333333333334, ""by_class_delta"": {""(1 x 1)"": 0.125, ""c(6 x 2)"": -0.75, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": -0.33333333333333337}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-02-04/139_RR220204A_470C_1758.bmp || Trajectories/2022-04-11/372_RR220411A_636C_1935.bmp"", ""baseline_accuracy"": 0.6, ""augmented_accuracy"": 0.6333333333333333, ""delta_accuracy"": 0.033333333333333326, ""by_class_delta"": {""(1 x 1)"": 0.125, ""c(6 x 2)"": -0.125, ""(\u221a13 x \u221a13)"": 0.375, ""HTR"": -0.33333333333333337}, ""cache_hit"": false}]",
random,3,6,76,94,0.322357240994706,0.7586206896551724,0.2,"{""(1 x 1)"": {""correct"": 1, ""total"": 8, ""accuracy"": 0.125}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 3, ""total"": 8, ""accuracy"": 0.375}, ""HTR"": {""correct"": 2, ""total"": 6, ""accuracy"": 0.3333333333333333}}","[""Trajectories/2022-02-04/170_RR220204A_536C_1818.bmp || Trajectories/2022-02-06/230_RR220206A_767C_2143.bmp"", ""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp""]","{""Trajectories/2022-02-04/170_RR220204A_536C_1818.bmp || Trajectories/2022-02-06/230_RR220206A_767C_2143.bmp"": 5, ""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp"": 5}","[14, 10]",2,"[{""candidate_pair_id"": ""Trajectories/2022-02-04/170_RR220204A_536C_1818.bmp || Trajectories/2022-02-06/230_RR220206A_767C_2143.bmp"", ""baseline_accuracy"": 0.2, ""augmented_accuracy"": 0.5666666666666667, ""delta_accuracy"": 0.36666666666666664, ""by_class_delta"": {""(1 x 1)"": 0.75, ""c(6 x 2)"": 0.5, ""(\u221a13 x \u221a13)"": -0.125, ""HTR"": 0.3333333333333333}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp"", ""baseline_accuracy"": 0.2, ""augmented_accuracy"": 0.6, ""delta_accuracy"": 0.39999999999999997, ""by_class_delta"": {""(1 x 1)"": 0.375, ""c(6 x 2)"": 0.625, ""(\u221a13 x \u221a13)"": 0.125, ""HTR"": 0.5}, ""cache_hit"": false}]",
random,4,8,78,92,0.3172755313633157,0.8166666666666667,0.5666666666666667,"{""(1 x 1)"": {""correct"": 8, ""total"": 8, ""accuracy"": 1.0}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 5, ""total"": 8, ""accuracy"": 0.625}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-04-11/323_RR220411A_816C_1903.bmp || Trajectories/2022-04-11/366_RR220411A_654C_1930.bmp"", ""Trajectories/2022-02-06/273_RR220206A_423C_2243.bmp || Trajectories/2022-04-11/093_RR220411A_482C_1531.bmp""]","{""Trajectories/2022-04-11/323_RR220411A_816C_1903.bmp || Trajectories/2022-04-11/366_RR220411A_654C_1930.bmp"": 5, ""Trajectories/2022-02-06/273_RR220206A_423C_2243.bmp || Trajectories/2022-04-11/093_RR220411A_482C_1531.bmp"": 5}","[2, 12]",2,"[{""candidate_pair_id"": ""Trajectories/2022-04-11/323_RR220411A_816C_1903.bmp || Trajectories/2022-04-11/366_RR220411A_654C_1930.bmp"", ""baseline_accuracy"": 0.5666666666666667, ""augmented_accuracy"": 0.7333333333333333, ""delta_accuracy"": 0.16666666666666663, ""by_class_delta"": {""(1 x 1)"": -0.375, ""c(6 x 2)"": 0.875, ""(\u221a13 x \u221a13)"": -0.125, ""HTR"": 0.33333333333333337}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-02-06/273_RR220206A_423C_2243.bmp || Trajectories/2022-04-11/093_RR220411A_482C_1531.bmp"", ""baseline_accuracy"": 0.5666666666666667, ""augmented_accuracy"": 0.5666666666666667, ""delta_accuracy"": 0.0, ""by_class_delta"": {""(1 x 1)"": -0.375, ""c(6 x 2)"": 0.25, ""(\u221a13 x \u221a13)"": -0.125, ""HTR"": 0.33333333333333337}, ""cache_hit"": false}]",
random,5,10,80,90,0.314631623856192,0.7838709677419354,0.7333333333333333,"{""(1 x 1)"": {""correct"": 5, ""total"": 8, ""accuracy"": 0.625}, ""c(6 x 2)"": {""correct"": 7, ""total"": 8, ""accuracy"": 0.875}, ""(\u221a13 x \u221a13)"": {""correct"": 4, ""total"": 8, ""accuracy"": 0.5}, ""HTR"": {""correct"": 6, ""total"": 6, ""accuracy"": 1.0}}",[],,[],0,[],True
uncertainty,0,0,70,100,0.3321484412224606,0.7228464419475655,0.5333333333333333,"{""(1 x 1)"": {""correct"": 8, ""total"": 8, ""accuracy"": 1.0}, ""c(6 x 2)"": {""correct"": 1, ""total"": 8, ""accuracy"": 0.125}, ""(\u221a13 x \u221a13)"": {""correct"": 3, ""total"": 8, ""accuracy"": 0.375}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-02-04/160_RR220204A_501C_1809-02.bmp || Trajectories/2022-02-04/161_RR220204A_504C_1810.bmp"", ""Trajectories/2022-02-04/076_RR220204A_299C_1713.bmp || Trajectories/2022-02-04/080_RR220204A_301C_1718.bmp""]","{""Trajectories/2022-02-04/160_RR220204A_501C_1809-02.bmp || Trajectories/2022-02-04/161_RR220204A_504C_1810.bmp"": 1, ""Trajectories/2022-02-04/076_RR220204A_299C_1713.bmp || Trajectories/2022-02-04/080_RR220204A_301C_1718.bmp"": 1}","[3, 3]",1,"[{""candidate_pair_id"": ""Trajectories/2022-02-04/160_RR220204A_501C_1809-02.bmp || Trajectories/2022-02-04/161_RR220204A_504C_1810.bmp"", ""baseline_accuracy"": 0.5333333333333333, ""augmented_accuracy"": 0.4666666666666667, ""delta_accuracy"": -0.06666666666666665, ""by_class_delta"": {""(1 x 1)"": -0.75, ""c(6 x 2)"": 0.5, ""(\u221a13 x \u221a13)"": -0.25, ""HTR"": 0.33333333333333337}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-02-04/076_RR220204A_299C_1713.bmp || Trajectories/2022-02-04/080_RR220204A_301C_1718.bmp"", ""baseline_accuracy"": 0.5333333333333333, ""augmented_accuracy"": 0.43333333333333335, ""delta_accuracy"": -0.09999999999999998, ""by_class_delta"": {""(1 x 1)"": -0.75, ""c(6 x 2)"": 0.5, ""(\u221a13 x \u221a13)"": -0.375, ""HTR"": 0.33333333333333337}, ""cache_hit"": false}]",
uncertainty,1,2,72,98,0.31964716850333097,0.7397769516728625,0.6,"{""(1 x 1)"": {""correct"": 6, ""total"": 8, ""accuracy"": 0.75}, ""c(6 x 2)"": {""correct"": 5, ""total"": 8, ""accuracy"": 0.625}, ""(\u221a13 x \u221a13)"": {""correct"": 3, ""total"": 8, ""accuracy"": 0.375}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-02-04/085_RR220204A_378C_1720.bmp || Trajectories/2022-02-04/134_RR220204A_467C_1754-02.bmp"", ""Trajectories/2022-04-11/246_RR220411A_915C_1741.bmp || Trajectories/2022-04-11/258_RR220411A_932C_1751.bmp""]","{""Trajectories/2022-02-04/085_RR220204A_378C_1720.bmp || Trajectories/2022-02-04/134_RR220204A_467C_1754-02.bmp"": 1, ""Trajectories/2022-04-11/246_RR220411A_915C_1741.bmp || Trajectories/2022-04-11/258_RR220411A_932C_1751.bmp"": 1}","[5, 18]",2,"[{""candidate_pair_id"": ""Trajectories/2022-02-04/085_RR220204A_378C_1720.bmp || Trajectories/2022-02-04/134_RR220204A_467C_1754-02.bmp"", ""baseline_accuracy"": 0.6, ""augmented_accuracy"": 0.3, ""delta_accuracy"": -0.3, ""by_class_delta"": {""(1 x 1)"": -0.625, ""c(6 x 2)"": 0.125, ""(\u221a13 x \u221a13)"": -0.375, ""HTR"": -0.3333333333333333}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-04-11/246_RR220411A_915C_1741.bmp || Trajectories/2022-04-11/258_RR220411A_932C_1751.bmp"", ""baseline_accuracy"": 0.6, ""augmented_accuracy"": 0.26666666666666666, ""delta_accuracy"": -0.3333333333333333, ""by_class_delta"": {""(1 x 1)"": -0.5, ""c(6 x 2)"": -0.625, ""(\u221a13 x \u221a13)"": -0.375, ""HTR"": 0.33333333333333337}, ""cache_hit"": false}]",
uncertainty,2,4,74,96,0.3248850037912814,0.7047970479704797,0.5,"{""(1 x 1)"": {""correct"": 7, ""total"": 8, ""accuracy"": 0.875}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 4, ""total"": 8, ""accuracy"": 0.5}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp"", ""Trajectories/2022-02-04/159_RR220204A_501C_1809-01.bmp || Trajectories/2022-04-11/100_RR220411A_492C_1537.bmp""]","{""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp"": 5, ""Trajectories/2022-02-04/159_RR220204A_501C_1809-01.bmp || Trajectories/2022-04-11/100_RR220411A_492C_1537.bmp"": 5}","[8, 5]",2,"[{""candidate_pair_id"": ""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp"", ""baseline_accuracy"": 0.5, ""augmented_accuracy"": 0.3333333333333333, ""delta_accuracy"": -0.16666666666666669, ""by_class_delta"": {""(1 x 1)"": -0.5, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.125, ""HTR"": 0.0}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-02-04/159_RR220204A_501C_1809-01.bmp || Trajectories/2022-04-11/100_RR220411A_492C_1537.bmp"", ""baseline_accuracy"": 0.5, ""augmented_accuracy"": 0.3333333333333333, ""delta_accuracy"": -0.16666666666666669, ""by_class_delta"": {""(1 x 1)"": -0.625, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": 0.0}, ""cache_hit"": false}]",
uncertainty,3,6,76,94,0.3206825605380831,0.8256227758007118,0.3333333333333333,"{""(1 x 1)"": {""correct"": 5, ""total"": 8, ""accuracy"": 0.625}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 1, ""total"": 8, ""accuracy"": 0.125}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-02-04/126_RR220204A_443C_1750.bmp || Trajectories/2022-04-11/213_RR220411A_857C_1715.bmp"", ""Trajectories/2022-02-04/266_RR220204A_783C_1938.bmp || Trajectories/2022-02-04/356_RR220204A_949C_2144.bmp""]","{""Trajectories/2022-02-04/126_RR220204A_443C_1750.bmp || Trajectories/2022-04-11/213_RR220411A_857C_1715.bmp"": 5, ""Trajectories/2022-02-04/266_RR220204A_783C_1938.bmp || Trajectories/2022-02-04/356_RR220204A_949C_2144.bmp"": 5}","[3, 2]",2,"[{""candidate_pair_id"": ""Trajectories/2022-02-04/126_RR220204A_443C_1750.bmp || Trajectories/2022-04-11/213_RR220411A_857C_1715.bmp"", ""baseline_accuracy"": 0.3333333333333333, ""augmented_accuracy"": 0.5, ""delta_accuracy"": 0.16666666666666669, ""by_class_delta"": {""(1 x 1)"": -0.125, ""c(6 x 2)"": 1.0, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": -0.3333333333333333}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-02-04/266_RR220204A_783C_1938.bmp || Trajectories/2022-02-04/356_RR220204A_949C_2144.bmp"", ""baseline_accuracy"": 0.3333333333333333, ""augmented_accuracy"": 0.26666666666666666, ""delta_accuracy"": -0.06666666666666665, ""by_class_delta"": {""(1 x 1)"": -0.375, ""c(6 x 2)"": 0.125, ""(\u221a13 x \u221a13)"": 0.25, ""HTR"": -0.3333333333333333}, ""cache_hit"": false}]",
