strategy,round,budget_before,labeled_pairs,candidate_remaining,train_loss,train_pairwise_accuracy,test_accuracy,test_by_class,selected_pair_ids,revealed_preference_rows,selected_clusters,cluster_coverage,utilities,final
random,0,0,70,100,0.4478316661604555,0.7303370786516854,0.36666666666666664,"{""(1 x 1)"": {""correct"": 1, ""total"": 8, ""accuracy"": 0.125}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 6, ""total"": 8, ""accuracy"": 0.75}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-02-04/230_RR220204A_695C_1902.bmp || Trajectories/2022-02-06/074_RR220206A_430C_1809.bmp"", ""Trajectories/2022-02-06/104_RR220206A_734C_1847.bmp || Trajectories/2022-02-06/207_RR220206A_875C_2114.bmp""]","{""Trajectories/2022-02-04/230_RR220204A_695C_1902.bmp || Trajectories/2022-02-06/074_RR220206A_430C_1809.bmp"": 2, ""Trajectories/2022-02-06/104_RR220206A_734C_1847.bmp || Trajectories/2022-02-06/207_RR220206A_875C_2114.bmp"": 2}","[17, 10]",2,"[{""candidate_pair_id"": ""Trajectories/2022-02-04/230_RR220204A_695C_1902.bmp || Trajectories/2022-02-06/074_RR220206A_430C_1809.bmp"", ""baseline_accuracy"": 0.36666666666666664, ""augmented_accuracy"": 0.36666666666666664, ""delta_accuracy"": 0.0, ""by_class_delta"": {""(1 x 1)"": 0.0, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": 0.0}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-02-06/104_RR220206A_734C_1847.bmp || Trajectories/2022-02-06/207_RR220206A_875C_2114.bmp"", ""baseline_accuracy"": 0.36666666666666664, ""augmented_accuracy"": 0.23333333333333334, ""delta_accuracy"": -0.1333333333333333, ""by_class_delta"": {""(1 x 1)"": -0.125, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.25, ""HTR"": -0.16666666666666663}, ""cache_hit"": false}]",
random,1,2,72,98,0.4450427498367138,0.8339483394833949,0.5333333333333333,"{""(1 x 1)"": {""correct"": 7, ""total"": 8, ""accuracy"": 0.875}, ""c(6 x 2)"": {""correct"": 5, ""total"": 8, ""accuracy"": 0.625}, ""(\u221a13 x \u221a13)"": {""correct"": 4, ""total"": 8, ""accuracy"": 0.5}, ""HTR"": {""correct"": 0, ""total"": 6, ""accuracy"": 0.0}}","[""Trajectories/2022-02-06/090_RR220206A_568C_1828.bmp || Trajectories/2022-04-11/149_RR220411A_676C_1619.bmp"", ""Trajectories/2022-04-11/111_RR220411A_536C_1546.bmp || Trajectories/2022-04-11/175_RR220411A_765C_1645.bmp""]","{""Trajectories/2022-02-06/090_RR220206A_568C_1828.bmp || Trajectories/2022-04-11/149_RR220411A_676C_1619.bmp"": 5, ""Trajectories/2022-04-11/111_RR220411A_536C_1546.bmp || Trajectories/2022-04-11/175_RR220411A_765C_1645.bmp"": 4}","[15, 1]",2,"[{""candidate_pair_id"": ""Trajectories/2022-02-06/090_RR220206A_568C_1828.bmp || Trajectories/2022-04-11/149_RR220411A_676C_1619.bmp"", ""baseline_accuracy"": 0.5333333333333333, ""augmented_accuracy"": 0.3, ""delta_accuracy"": -0.23333333333333334, ""by_class_delta"": {""(1 x 1)"": -0.625, ""c(6 x 2)"": -0.625, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": 0.5}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-04-11/111_RR220411A_536C_1546.bmp || Trajectories/2022-04-11/175_RR220411A_765C_1645.bmp"", ""baseline_accuracy"": 0.5333333333333333, ""augmented_accuracy"": 0.3333333333333333, ""delta_accuracy"": -0.2, ""by_class_delta"": {""(1 x 1)"": -0.75, ""c(6 x 2)"": 0.125, ""(\u221a13 x \u221a13)"": -0.125, ""HTR"": 0.0}, ""cache_hit"": false}]",
random,2,4,74,96,0.44299506202029687,0.7392857142857143,0.13333333333333333,"{""(1 x 1)"": {""correct"": 1, ""total"": 8, ""accuracy"": 0.125}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 3, ""total"": 8, ""accuracy"": 0.375}, ""HTR"": {""correct"": 0, ""total"": 6, ""accuracy"": 0.0}}","[""Trajectories/2022-02-06/049_RR220206A_205C_1737.bmp || Trajectories/2022-04-11/356_RR220411A_685C_1925.bmp"", ""Trajectories/2022-02-04/139_RR220204A_470C_1758.bmp || Trajectories/2022-04-11/372_RR220411A_636C_1935.bmp""]","{""Trajectories/2022-02-06/049_RR220206A_205C_1737.bmp || Trajectories/2022-04-11/356_RR220411A_685C_1925.bmp"": 5, ""Trajectories/2022-02-04/139_RR220204A_470C_1758.bmp || Trajectories/2022-04-11/372_RR220411A_636C_1935.bmp"": 5}","[1, 14]",2,"[{""candidate_pair_id"": ""Trajectories/2022-02-06/049_RR220206A_205C_1737.bmp || Trajectories/2022-04-11/356_RR220411A_685C_1925.bmp"", ""baseline_accuracy"": 0.13333333333333333, ""augmented_accuracy"": 0.43333333333333335, ""delta_accuracy"": 0.30000000000000004, ""by_class_delta"": {""(1 x 1)"": 0.5, ""c(6 x 2)"": 0.125, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": 0.6666666666666666}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-02-04/139_RR220204A_470C_1758.bmp || Trajectories/2022-04-11/372_RR220411A_636C_1935.bmp"", ""baseline_accuracy"": 0.13333333333333333, ""augmented_accuracy"": 0.4, ""delta_accuracy"": 0.2666666666666667, ""by_class_delta"": {""(1 x 1)"": 0.625, ""c(6 x 2)"": 0.125, ""(\u221a13 x \u221a13)"": 0.0, ""HTR"": 0.3333333333333333}, ""cache_hit"": false}]",
random,3,6,76,94,0.45205322702592976,0.7827586206896552,0.26666666666666666,"{""(1 x 1)"": {""correct"": 2, ""total"": 8, ""accuracy"": 0.25}, ""c(6 x 2)"": {""correct"": 1, ""total"": 8, ""accuracy"": 0.125}, ""(\u221a13 x \u221a13)"": {""correct"": 4, ""total"": 8, ""accuracy"": 0.5}, ""HTR"": {""correct"": 1, ""total"": 6, ""accuracy"": 0.16666666666666666}}","[""Trajectories/2022-02-04/170_RR220204A_536C_1818.bmp || Trajectories/2022-02-06/230_RR220206A_767C_2143.bmp"", ""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp""]","{""Trajectories/2022-02-04/170_RR220204A_536C_1818.bmp || Trajectories/2022-02-06/230_RR220206A_767C_2143.bmp"": 5, ""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp"": 5}","[3, 11]",2,"[{""candidate_pair_id"": ""Trajectories/2022-02-04/170_RR220204A_536C_1818.bmp || Trajectories/2022-02-06/230_RR220206A_767C_2143.bmp"", ""baseline_accuracy"": 0.26666666666666666, ""augmented_accuracy"": 0.4, ""delta_accuracy"": 0.13333333333333336, ""by_class_delta"": {""(1 x 1)"": 0.25, ""c(6 x 2)"": 0.5, ""(\u221a13 x \u221a13)"": -0.125, ""HTR"": -0.16666666666666666}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp"", ""baseline_accuracy"": 0.26666666666666666, ""augmented_accuracy"": 0.4666666666666667, ""delta_accuracy"": 0.2, ""by_class_delta"": {""(1 x 1)"": 0.0, ""c(6 x 2)"": 0.5, ""(\u221a13 x \u221a13)"": -0.125, ""HTR"": 0.5}, ""cache_hit"": false}]",
random,4,8,78,92,0.444313423898307,0.7666666666666667,0.4,"{""(1 x 1)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""c(6 x 2)"": {""correct"": 5, ""total"": 8, ""accuracy"": 0.625}, ""(\u221a13 x \u221a13)"": {""correct"": 3, ""total"": 8, ""accuracy"": 0.375}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-04-11/323_RR220411A_816C_1903.bmp || Trajectories/2022-04-11/366_RR220411A_654C_1930.bmp"", ""Trajectories/2022-02-06/273_RR220206A_423C_2243.bmp || Trajectories/2022-04-11/093_RR220411A_482C_1531.bmp""]","{""Trajectories/2022-04-11/323_RR220411A_816C_1903.bmp || Trajectories/2022-04-11/366_RR220411A_654C_1930.bmp"": 5, ""Trajectories/2022-02-06/273_RR220206A_423C_2243.bmp || Trajectories/2022-04-11/093_RR220411A_482C_1531.bmp"": 5}","[6, 19]",2,"[{""candidate_pair_id"": ""Trajectories/2022-04-11/323_RR220411A_816C_1903.bmp || Trajectories/2022-04-11/366_RR220411A_654C_1930.bmp"", ""baseline_accuracy"": 0.4, ""augmented_accuracy"": 0.43333333333333335, ""delta_accuracy"": 0.033333333333333326, ""by_class_delta"": {""(1 x 1)"": 0.125, ""c(6 x 2)"": 0.125, ""(\u221a13 x \u221a13)"": 0.125, ""HTR"": -0.3333333333333333}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-02-06/273_RR220206A_423C_2243.bmp || Trajectories/2022-04-11/093_RR220411A_482C_1531.bmp"", ""baseline_accuracy"": 0.4, ""augmented_accuracy"": 0.4666666666666667, ""delta_accuracy"": 0.06666666666666665, ""by_class_delta"": {""(1 x 1)"": 0.0, ""c(6 x 2)"": 0.25, ""(\u221a13 x \u221a13)"": 0.5, ""HTR"": -0.6666666666666666}, ""cache_hit"": false}]",
random,5,10,80,90,0.44365555826897174,0.8032258064516129,0.3333333333333333,"{""(1 x 1)"": {""correct"": 1, ""total"": 8, ""accuracy"": 0.125}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 7, ""total"": 8, ""accuracy"": 0.875}, ""HTR"": {""correct"": 2, ""total"": 6, ""accuracy"": 0.3333333333333333}}",[],,[],0,[],True
uncertainty,0,0,70,100,0.4478316661604555,0.7303370786516854,0.36666666666666664,"{""(1 x 1)"": {""correct"": 1, ""total"": 8, ""accuracy"": 0.125}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 6, ""total"": 8, ""accuracy"": 0.75}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-02-04/160_RR220204A_501C_1809-02.bmp || Trajectories/2022-02-04/161_RR220204A_504C_1810.bmp"", ""Trajectories/2022-02-04/076_RR220204A_299C_1713.bmp || Trajectories/2022-02-04/080_RR220204A_301C_1718.bmp""]","{""Trajectories/2022-02-04/160_RR220204A_501C_1809-02.bmp || Trajectories/2022-02-04/161_RR220204A_504C_1810.bmp"": 1, ""Trajectories/2022-02-04/076_RR220204A_299C_1713.bmp || Trajectories/2022-02-04/080_RR220204A_301C_1718.bmp"": 1}","[5, 5]",1,"[{""candidate_pair_id"": ""Trajectories/2022-02-04/160_RR220204A_501C_1809-02.bmp || Trajectories/2022-02-04/161_RR220204A_504C_1810.bmp"", ""baseline_accuracy"": 0.36666666666666664, ""augmented_accuracy"": 0.13333333333333333, ""delta_accuracy"": -0.2333333333333333, ""by_class_delta"": {""(1 x 1)"": 0.0, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.375, ""HTR"": -0.6666666666666666}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-02-04/076_RR220204A_299C_1713.bmp || Trajectories/2022-02-04/080_RR220204A_301C_1718.bmp"", ""baseline_accuracy"": 0.36666666666666664, ""augmented_accuracy"": 0.13333333333333333, ""delta_accuracy"": -0.2333333333333333, ""by_class_delta"": {""(1 x 1)"": 0.0, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.375, ""HTR"": -0.6666666666666666}, ""cache_hit"": false}]",
uncertainty,1,2,72,98,0.4473265698520969,0.8141263940520446,0.3333333333333333,"{""(1 x 1)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 6, ""total"": 8, ""accuracy"": 0.75}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-04-11/246_RR220411A_915C_1741.bmp || Trajectories/2022-04-11/258_RR220411A_932C_1751.bmp"", ""Trajectories/2022-02-04/085_RR220204A_378C_1720.bmp || Trajectories/2022-02-04/134_RR220204A_467C_1754-02.bmp""]","{""Trajectories/2022-04-11/246_RR220411A_915C_1741.bmp || Trajectories/2022-04-11/258_RR220411A_932C_1751.bmp"": 1, ""Trajectories/2022-02-04/085_RR220204A_378C_1720.bmp || Trajectories/2022-02-04/134_RR220204A_467C_1754-02.bmp"": 1}","[19, 19]",1,"[{""candidate_pair_id"": ""Trajectories/2022-04-11/246_RR220411A_915C_1741.bmp || Trajectories/2022-04-11/258_RR220411A_932C_1751.bmp"", ""baseline_accuracy"": 0.3333333333333333, ""augmented_accuracy"": 0.16666666666666666, ""delta_accuracy"": -0.16666666666666666, ""by_class_delta"": {""(1 x 1)"": 0.125, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.25, ""HTR"": -0.6666666666666666}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-02-04/085_RR220204A_378C_1720.bmp || Trajectories/2022-02-04/134_RR220204A_467C_1754-02.bmp"", ""baseline_accuracy"": 0.3333333333333333, ""augmented_accuracy"": 0.13333333333333333, ""delta_accuracy"": -0.19999999999999998, ""by_class_delta"": {""(1 x 1)"": 0.125, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.375, ""HTR"": -0.6666666666666666}, ""cache_hit"": false}]",
uncertainty,2,4,74,96,0.4481194325178766,0.5904059040590406,0.4666666666666667,"{""(1 x 1)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""c(6 x 2)"": {""correct"": 6, ""total"": 8, ""accuracy"": 0.75}, ""(\u221a13 x \u221a13)"": {""correct"": 7, ""total"": 8, ""accuracy"": 0.875}, ""HTR"": {""correct"": 1, ""total"": 6, ""accuracy"": 0.16666666666666666}}","[""Trajectories/2022-02-06/058_RR220206A_249C_1745.bmp || Trajectories/2022-04-11/178_RR220411A_774C_1649.bmp"", ""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp""]","{""Trajectories/2022-02-06/058_RR220206A_249C_1745.bmp || Trajectories/2022-04-11/178_RR220411A_774C_1649.bmp"": 1, ""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp"": 5}","[6, 13]",2,"[{""candidate_pair_id"": ""Trajectories/2022-02-06/058_RR220206A_249C_1745.bmp || Trajectories/2022-04-11/178_RR220411A_774C_1649.bmp"", ""baseline_accuracy"": 0.4666666666666667, ""augmented_accuracy"": 0.5, ""delta_accuracy"": 0.033333333333333326, ""by_class_delta"": {""(1 x 1)"": 0.75, ""c(6 x 2)"": -0.75, ""(\u221a13 x \u221a13)"": -0.25, ""HTR"": 0.5}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-04-11/343_RR220411A_722C_1918.bmp || Trajectories/2022-04-11/374_RR220411A_625C_1937.bmp"", ""baseline_accuracy"": 0.4666666666666667, ""augmented_accuracy"": 0.5, ""delta_accuracy"": 0.033333333333333326, ""by_class_delta"": {""(1 x 1)"": 0.875, ""c(6 x 2)"": -0.75, ""(\u221a13 x \u221a13)"": -0.375, ""HTR"": 0.5}, ""cache_hit"": false}]",
uncertainty,3,6,76,94,0.4354726275422134,0.8158844765342961,0.4,"{""(1 x 1)"": {""correct"": 1, ""total"": 8, ""accuracy"": 0.125}, ""c(6 x 2)"": {""correct"": 0, ""total"": 8, ""accuracy"": 0.0}, ""(\u221a13 x \u221a13)"": {""correct"": 7, ""total"": 8, ""accuracy"": 0.875}, ""HTR"": {""correct"": 4, ""total"": 6, ""accuracy"": 0.6666666666666666}}","[""Trajectories/2022-04-11/397_RR220411A_528C_1948.bmp || Trajectories/2022-04-11/443_RR220411A_303C_2007.bmp"", ""Trajectories/2022-02-04/266_RR220204A_783C_1938.bmp || Trajectories/2022-02-04/356_RR220204A_949C_2144.bmp""]","{""Trajectories/2022-04-11/397_RR220411A_528C_1948.bmp || Trajectories/2022-04-11/443_RR220411A_303C_2007.bmp"": 1, ""Trajectories/2022-02-04/266_RR220204A_783C_1938.bmp || Trajectories/2022-02-04/356_RR220204A_949C_2144.bmp"": 5}","[19, 6]",2,"[{""candidate_pair_id"": ""Trajectories/2022-04-11/397_RR220411A_528C_1948.bmp || Trajectories/2022-04-11/443_RR220411A_303C_2007.bmp"", ""baseline_accuracy"": 0.4, ""augmented_accuracy"": 0.43333333333333335, ""delta_accuracy"": 0.033333333333333326, ""by_class_delta"": {""(1 x 1)"": 0.75, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.125, ""HTR"": -0.6666666666666666}, ""cache_hit"": false}, {""candidate_pair_id"": ""Trajectories/2022-02-04/266_RR220204A_783C_1938.bmp || Trajectories/2022-02-04/356_RR220204A_949C_2144.bmp"", ""baseline_accuracy"": 0.4, ""augmented_accuracy"": 0.3, ""delta_accuracy"": -0.10000000000000003, ""by_class_delta"": {""(1 x 1)"": 0.125, ""c(6 x 2)"": 0.0, ""(\u221a13 x \u221a13)"": -0.375, ""HTR"": -0.16666666666666663}, ""cache_hit"": false}]",
