strategy,cluster,selected_pairs,mean_core_set_distance,mean_uncertainty,mean_norm,low_value_flag
cluster_diverse,0,28,,0.6791939054216657,23.56329815636406,False
cluster_diverse,1,39,,0.6582294626113696,27.990217878677214,False
cluster_diverse,2,18,,0.6695552368958791,31.925102226040572,False
cluster_diverse,3,34,,0.6748176515102386,27.246507144607172,False
cluster_diverse,4,28,,0.680800274014473,22.832479271829012,False
cluster_diverse,5,25,,0.663840434551239,33.6154819873077,False
cluster_diverse,6,31,,0.6724879568622958,22.4009763795107,False
cluster_diverse,7,19,,0.6371407367681202,29.425136415645888,False
cluster_diverse,8,28,,0.6735083694968905,25.45344309891113,False
cluster_diverse,9,26,,0.6756296616334182,27.708476685174695,False
cluster_diverse,10,18,,0.6640647914674547,31.548202039766473,False
cluster_diverse,11,20,,0.6616683959960937,29.6692414819996,False
cluster_diverse,12,23,,0.6775849772536237,26.855579899309,False
cluster_diverse,13,28,,0.6755273267626762,28.24009398484836,False
cluster_diverse,14,26,,0.6383602550396552,22.070353633664336,False
cluster_diverse,15,27,,0.6549787720044454,23.444038553676645,False
cluster_diverse,16,32,,0.677839133888483,27.71405787823917,False
cluster_diverse,17,19,,0.6458093053416202,23.585345488857655,False
cluster_diverse,18,18,,0.6807003849082522,25.67882742267905,False
cluster_diverse,19,13,,0.6445982800080226,32.498099615250965,False
core_set,0,29,1.7882668172073752,,23.549267205353814,False
core_set,1,30,1.5021271110692664,,28.34269240770748,False
core_set,2,19,2.557603116623461,,29.179247422457294,False
core_set,3,35,1.5251244424169308,,27.590054143435538,False
core_set,4,28,1.5908583188699692,,22.95688096182683,False
core_set,5,25,1.6262996099559195,,31.673149108010865,False
core_set,6,33,1.5304923538367596,,22.53019511831815,False
core_set,7,22,1.9270767436852132,,29.49313117948515,False
core_set,8,27,1.821419429190557,,26.25452618175631,False
core_set,9,26,1.7285527798391578,,27.80718642589578,False
core_set,10,17,2.4292025119220026,,32.05234113369472,False
core_set,11,22,1.4111753628615467,,28.800837189795015,False
core_set,12,24,2.007118846828672,,26.57701212565564,False
core_set,13,25,1.4112005790460567,,27.9266929969482,False
core_set,14,22,1.790720029108288,,21.867741039352715,False
core_set,15,26,2.098976811536297,,23.171207888665474,False
core_set,16,33,1.6253859482217337,,27.532734208087334,False
core_set,17,23,1.615068063858737,,24.03118572193177,False
core_set,18,17,1.4216014498612422,,26.345840976861844,False
core_set,19,17,1.845045174148905,,30.557242467737122,False
random,0,29,,,23.479842648812003,False
random,1,34,,,27.88898091222017,False
random,2,19,,,31.13056760696769,False
random,3,37,,,26.727709891781092,False
random,4,26,,,23.096265814201253,False
random,5,25,,,32.15327112071803,False
random,6,29,,,22.1014651115584,False
random,7,18,,,28.895285861119987,False
random,8,26,,,24.376445639966125,False
random,9,28,,,28.41008010904644,False
random,10,18,,,31.64662182848741,False
random,11,20,,,29.501431506983543,False
random,12,22,,,27.143488250007977,False
random,13,30,,,28.31666438136387,False
random,14,27,,,22.328327566411918,False
random,15,30,,,23.35787847704664,False
random,16,27,,,29.292128650576903,False
random,17,19,,,24.004064443489575,False
random,18,20,,,25.175341926907524,False
random,19,16,,,31.541499240658148,False
uncertainty,0,27,,0.6795612507396274,24.279793008906065,False
uncertainty,1,36,,0.6828791018989351,29.432348112385302,False
uncertainty,2,17,,0.6787512162152458,33.37633913331254,False
uncertainty,3,34,,0.6798541808829588,27.394671208493097,False
uncertainty,4,32,,0.681340254843235,23.003539652540052,False
uncertainty,5,25,,0.6891695189476014,34.54230096897996,False
uncertainty,6,33,,0.674246583924149,21.945109858471007,False
uncertainty,7,13,,0.6791180693186246,31.498998229192644,False
uncertainty,8,30,,0.673749315738678,25.405837950381727,False
uncertainty,9,29,,0.6704989034554054,28.222837666099846,False
uncertainty,10,14,,0.6652779281139374,30.421087300481705,False
uncertainty,11,16,,0.6832147166132927,34.5093061150575,False
uncertainty,12,23,,0.688723509726317,26.707932937132924,False
uncertainty,13,32,,0.6818367894738913,27.80122102867568,False
uncertainty,14,27,,0.6401472974706579,21.801858113352836,False
uncertainty,15,27,,0.654283810544897,23.802165466277252,False
uncertainty,16,35,,0.6780391148158482,27.72699251638728,False
