relative_image_path,date_folder,trajectory_id,frame_index,filename_frame_token,temperature_c,ordering_source,parse_status
2022-02-04/001_RR220204A_933C_0006.bmp,2022-02-04,2022-02-04/RR220204A,1,0006,933,leading_filename_index,parsed
2022-02-04/002_RR220204A_933C_0010.bmp,2022-02-04,2022-02-04/RR220204A,2,0010,933,leading_filename_index,parsed
2022-02-04/003_RR220204A_932C_0017.bmp,2022-02-04,2022-02-04/RR220204A,3,0017,932,leading_filename_index,parsed
2022-02-04/004_RR220204A_932C_0020.bmp,2022-02-04,2022-02-04/RR220204A,4,0020,932,leading_filename_index,parsed
2022-02-04/005_RR220204A_933C_0031.bmp,2022-02-04,2022-02-04/RR220204A,5,0031,933,leading_filename_index,parsed
2022-02-04/006_RR220204A_931C_0041.bmp,2022-02-04,2022-02-04/RR220204A,6,0041,931,leading_filename_index,parsed
2022-02-04/007_RR220204A_931C_0051.bmp,2022-02-04,2022-02-04/RR220204A,7,0051,931,leading_filename_index,parsed
2022-02-04/008_RR220204A_931C_0100.bmp,2022-02-04,2022-02-04/RR220204A,8,0100,931,leading_filename_index,parsed
2022-02-04/009_RR220204A_943C_0101.bmp,2022-02-04,2022-02-04/RR220204A,9,0101,943,leading_filename_index,parsed
2022-02-04/010_RR220204A_945C_0102.bmp,2022-02-04,2022-02-04/RR220204A,10,0102,945,leading_filename_index,parsed
2022-02-04/011_RR220204A_946C_0103.bmp,2022-02-04,2022-02-04/RR220204A,11,0103,946,leading_filename_index,parsed
2022-02-04/012_RR220204A_931C_0107.bmp,2022-02-04,2022-02-04/RR220204A,12,0107,931,leading_filename_index,parsed
2022-02-04/013_RR220204A_949C_0119.bmp,2022-02-04,2022-02-04/RR220204A,13,0119,949,leading_filename_index,parsed
2022-02-04/014_RR220204A_949C_0121.bmp,2022-02-04,2022-02-04/RR220204A,14,0121,949,leading_filename_index,parsed
2022-02-04/015_RR220204A_961C_0123.bmp,2022-02-04,2022-02-04/RR220204A,15,0123,961,leading_filename_index,parsed
2022-02-04/016_RR220204A_961C_0125.bmp,2022-02-04,2022-02-04/RR220204A,16,0125,961,leading_filename_index,parsed
2022-02-04/017_RR220204A_981C_0125.bmp,2022-02-04,2022-02-04/RR220204A,17,0125,981,leading_filename_index,parsed
2022-02-04/018_RR220204A_971C_0125.bmp,2022-02-04,2022-02-04/RR220204A,18,0125,971,leading_filename_index,parsed
2022-02-04/019_RR220204A_981C_0126-01.bmp,2022-02-04,2022-02-04/RR220204A,19,0126-01,981,leading_filename_index,parsed
2022-02-04/020_RR220204A_981C_0126-02.bmp,2022-02-04,2022-02-04/RR220204A,20,0126-02,981,leading_filename_index,parsed
2022-02-04/021_RR220204A_981C_0126-03.bmp,2022-02-04,2022-02-04/RR220204A,21,0126-03,981,leading_filename_index,parsed
2022-02-04/022_RR220204A_981C_0127.bmp,2022-02-04,2022-02-04/RR220204A,22,0127,981,leading_filename_index,parsed
2022-02-04/023_RR220204A_988C_0128.bmp,2022-02-04,2022-02-04/RR220204A,23,0128,988,leading_filename_index,parsed
2022-02-04/024_RR220204A_927C_0130.bmp,2022-02-04,2022-02-04/RR220204A,24,0130,927,leading_filename_index,parsed
2022-02-04/025_RR220204A_923C_0132.bmp,2022-02-04,2022-02-04/RR220204A,25,0132,923,leading_filename_index,parsed
2022-02-04/026_RR220204A_869C_0133-01.bmp,2022-02-04,2022-02-04/RR220204A,26,0133-01,869,leading_filename_index,parsed
2022-02-04/027_RR220204A_869C_0133-02.bmp,2022-02-04,2022-02-04/RR220204A,27,0133-02,869,leading_filename_index,parsed
2022-02-04/028_RR220204A_869C_0134.bmp,2022-02-04,2022-02-04/RR220204A,28,0134,869,leading_filename_index,parsed
2022-02-04/029_RR220204A_808C_0135.bmp,2022-02-04,2022-02-04/RR220204A,29,0135,808,leading_filename_index,parsed
2022-02-04/030_RR220204A_800C_0136.bmp,2022-02-04,2022-02-04/RR220204A,30,0136,800,leading_filename_index,parsed
2022-02-04/031_RR220204A_799C_0137.bmp,2022-02-04,2022-02-04/RR220204A,31,0137,799,leading_filename_index,parsed
2022-02-04/032_RR220204A_711C_0139.bmp,2022-02-04,2022-02-04/RR220204A,32,0139,711,leading_filename_index,parsed
2022-02-04/033_RR220204A_708C_0141.bmp,2022-02-04,2022-02-04/RR220204A,33,0141,708,leading_filename_index,parsed
2022-02-04/034_RR220204A_655C_0142.bmp,2022-02-04,2022-02-04/RR220204A,34,0142,655,leading_filename_index,parsed
2022-02-04/035_RR220204A_646C_0143.bmp,2022-02-04,2022-02-04/RR220204A,35,0143,646,leading_filename_index,parsed
2022-02-04/036_RR220204A_587C_0145.bmp,2022-02-04,2022-02-04/RR220204A,36,0145,587,leading_filename_index,parsed
2022-02-04/037_RR220204A_579C_0146.bmp,2022-02-04,2022-02-04/RR220204A,37,0146,579,leading_filename_index,parsed
2022-02-04/038_RR220204A_576C_0147.bmp,2022-02-04,2022-02-04/RR220204A,38,0147,576,leading_filename_index,parsed
2022-02-04/039_RR220204A_516C_0149.bmp,2022-02-04,2022-02-04/RR220204A,39,0149,516,leading_filename_index,parsed
2022-02-04/040_RR220204A_505C_0150.bmp,2022-02-04,2022-02-04/RR220204A,40,0150,505,leading_filename_index,parsed
2022-02-04/041_RR220204A_431C_0153.bmp,2022-02-04,2022-02-04/RR220204A,41,0153,431,leading_filename_index,parsed
2022-02-04/042_RR220204A_423C_0154.bmp,2022-02-04,2022-02-04/RR220204A,42,0154,423,leading_filename_index,parsed
2022-02-04/043_RR220204A_362C_0156.bmp,2022-02-04,2022-02-04/RR220204A,43,0156,362,leading_filename_index,parsed
2022-02-04/044_RR220204A_348C_0157.bmp,2022-02-04,2022-02-04/RR220204A,44,0157,348,leading_filename_index,parsed
2022-02-04/045_RR220204A_343C_0158.bmp,2022-02-04,2022-02-04/RR220204A,45,0158,343,leading_filename_index,parsed
2022-02-04/046_RR220204A_339C_0159.bmp,2022-02-04,2022-02-04/RR220204A,46,0159,339,leading_filename_index,parsed
2022-02-04/047_RR220204A_336C_0200.bmp,2022-02-04,2022-02-04/RR220204A,47,0200,336,leading_filename_index,parsed
2022-02-04/048_RR220204A_245C_0201.bmp,2022-02-04,2022-02-04/RR220204A,48,0201,245,leading_filename_index,parsed
2022-02-04/049_RR220204A_218C_0201.bmp,2022-02-04,2022-02-04/RR220204A,49,0201,218,leading_filename_index,parsed
2022-02-04/050_RR220204A_190C_0202.bmp,2022-02-04,2022-02-04/RR220204A,50,0202,190,leading_filename_index,parsed
2022-02-04/051_RR220204A_240C_0205.bmp,2022-02-04,2022-02-04/RR220204A,51,0205,240,leading_filename_index,parsed
2022-02-04/052_RR220204A_239C_0205.bmp,2022-02-04,2022-02-04/RR220204A,52,0205,239,leading_filename_index,parsed
2022-02-04/053_RR220204A_231C_0206.bmp,2022-02-04,2022-02-04/RR220204A,53,0206,231,leading_filename_index,parsed
2022-02-04/054_RR220204A_241C_0206.bmp,2022-02-04,2022-02-04/RR220204A,54,0206,241,leading_filename_index,parsed
2022-02-04/055_RR220204A_205C_0207.bmp,2022-02-04,2022-02-04/RR220204A,55,0207,205,leading_filename_index,parsed
2022-02-04/056_RR220204A_191C_0208.bmp,2022-02-04,2022-02-04/RR220204A,56,0208,191,leading_filename_index,parsed
2022-02-04/057_RR220204A_188C_0209.bmp,2022-02-04,2022-02-04/RR220204A,57,0209,188,leading_filename_index,parsed
2022-02-04/058_RR220204A_178C_0211.bmp,2022-02-04,2022-02-04/RR220204A,58,0211,178,leading_filename_index,parsed
2022-02-04/059_RR220204A_180C_0211.bmp,2022-02-04,2022-02-04/RR220204A,59,0211,180,leading_filename_index,parsed
2022-02-04/060_RR220204A_165C_0212.bmp,2022-02-04,2022-02-04/RR220204A,60,0212,165,leading_filename_index,parsed
2022-02-04/061_RR220204A_165C_0215-01.bmp,2022-02-04,2022-02-04/RR220204A,61,0215-01,165,leading_filename_index,parsed
2022-02-04/062_RR220204A_165C_0215-02.bmp,2022-02-04,2022-02-04/RR220204A,62,0215-02,165,leading_filename_index,parsed
2022-02-04/063_RR220204A_165C_0215-03.bmp,2022-02-04,2022-02-04/RR220204A,63,0215-03,165,leading_filename_index,parsed
2022-02-04/064_RR220204A_165C_0216.bmp,2022-02-04,2022-02-04/RR220204A,64,0216,165,leading_filename_index,parsed
2022-02-04/065_RR220204A_165C_0217.bmp,2022-02-04,2022-02-04/RR220204A,65,0217,165,leading_filename_index,parsed
2022-02-04/066_RR220204A_165C_0218.bmp,2022-02-04,2022-02-04/RR220204A,66,0218,165,leading_filename_index,parsed
2022-02-04/067_RR220204A_291C_1703.bmp,2022-02-04,2022-02-04/RR220204A,67,1703,291,leading_filename_index,parsed
2022-02-04/068_RR220204A_291C_1704.bmp,2022-02-04,2022-02-04/RR220204A,68,1704,291,leading_filename_index,parsed
2022-02-04/069_RR220204A_293C_1706.bmp,2022-02-04,2022-02-04/RR220204A,69,1706,293,leading_filename_index,parsed
2022-02-04/070_RR220204A_294C_1707.bmp,2022-02-04,2022-02-04/RR220204A,70,1707,294,leading_filename_index,parsed
2022-02-04/071_RR220204A_296C_1709-01.bmp,2022-02-04,2022-02-04/RR220204A,71,1709-01,296,leading_filename_index,parsed
2022-02-04/072_RR220204A_296C_1709-02.bmp,2022-02-04,2022-02-04/RR220204A,72,1709-02,296,leading_filename_index,parsed
2022-02-04/073_RR220204A_297C_1710.bmp,2022-02-04,2022-02-04/RR220204A,73,1710,297,leading_filename_index,parsed
2022-02-04/074_RR220204A_297C_1711.bmp,2022-02-04,2022-02-04/RR220204A,74,1711,297,leading_filename_index,parsed
2022-02-04/075_RR220204A_298C_1712.bmp,2022-02-04,2022-02-04/RR220204A,75,1712,298,leading_filename_index,parsed
2022-02-04/076_RR220204A_299C_1713.bmp,2022-02-04,2022-02-04/RR220204A,76,1713,299,leading_filename_index,parsed
2022-02-04/077_RR220204A_300C_1715.bmp,2022-02-04,2022-02-04/RR220204A,77,1715,300,leading_filename_index,parsed
2022-02-04/078_RR220204A_300C_1716.bmp,2022-02-04,2022-02-04/RR220204A,78,1716,300,leading_filename_index,parsed
2022-02-04/079_RR220204A_301C_1717.bmp,2022-02-04,2022-02-04/RR220204A,79,1717,301,leading_filename_index,parsed
2022-02-04/080_RR220204A_301C_1718.bmp,2022-02-04,2022-02-04/RR220204A,80,1718,301,leading_filename_index,parsed
2022-02-04/081_RR220204A_344C_1719.bmp,2022-02-04,2022-02-04/RR220204A,81,1719,344,leading_filename_index,parsed
2022-02-04/082_RR220204A_358C_1719.bmp,2022-02-04,2022-02-04/RR220204A,82,1719,358,leading_filename_index,parsed
2022-02-04/083_RR220204A_365C_1720.bmp,2022-02-04,2022-02-04/RR220204A,83,1720,365,leading_filename_index,parsed
2022-02-04/084_RR220204A_373C_1720.bmp,2022-02-04,2022-02-04/RR220204A,84,1720,373,leading_filename_index,parsed
2022-02-04/085_RR220204A_378C_1720.bmp,2022-02-04,2022-02-04/RR220204A,85,1720,378,leading_filename_index,parsed
2022-02-04/086_RR220204A_387C_1721.bmp,2022-02-04,2022-02-04/RR220204A,86,1721,387,leading_filename_index,parsed
2022-02-04/087_RR220204A_389C_1721.bmp,2022-02-04,2022-02-04/RR220204A,87,1721,389,leading_filename_index,parsed
2022-02-04/088_RR220204A_382C_1721-01.bmp,2022-02-04,2022-02-04/RR220204A,88,1721-01,382,leading_filename_index,parsed
2022-02-04/089_RR220204A_382C_1721-02.bmp,2022-02-04,2022-02-04/RR220204A,89,1721-02,382,leading_filename_index,parsed
2022-02-04/090_RR220204A_394C_1722.bmp,2022-02-04,2022-02-04/RR220204A,90,1722,394,leading_filename_index,parsed
2022-02-04/091_RR220204A_393C_1722.bmp,2022-02-04,2022-02-04/RR220204A,91,1722,393,leading_filename_index,parsed
2022-02-04/092_RR220204A_396C_1722.bmp,2022-02-04,2022-02-04/RR220204A,92,1722,396,leading_filename_index,parsed
2022-02-04/093_RR220204A_397C_1722.bmp,2022-02-04,2022-02-04/RR220204A,93,1722,397,leading_filename_index,parsed
2022-02-04/094_RR220204A_400C_1724.bmp,2022-02-04,2022-02-04/RR220204A,94,1724,400,leading_filename_index,parsed
2022-02-04/095_RR220204A_403C_1725.bmp,2022-02-04,2022-02-04/RR220204A,95,1725,403,leading_filename_index,parsed
2022-02-04/096_RR220204A_404C_1726.bmp,2022-02-04,2022-02-04/RR220204A,96,1726,404,leading_filename_index,parsed
2022-02-04/097_RR220204A_405C_1727.bmp,2022-02-04,2022-02-04/RR220204A,97,1727,405,leading_filename_index,parsed
2022-02-04/098_RR220204A_406C_1728.bmp,2022-02-04,2022-02-04/RR220204A,98,1728,406,leading_filename_index,parsed
2022-02-04/099_RR220204A_406C_1729.bmp,2022-02-04,2022-02-04/RR220204A,99,1729,406,leading_filename_index,parsed
2022-02-04/100_RR220204A_407C_1730.bmp,2022-02-04,2022-02-04/RR220204A,100,1730,407,leading_filename_index,parsed
2022-02-04/101_RR220204A_407C_1731.bmp,2022-02-04,2022-02-04/RR220204A,101,1731,407,leading_filename_index,parsed
2022-02-04/102_RR220204A_408C_1732.bmp,2022-02-04,2022-02-04/RR220204A,102,1732,408,leading_filename_index,parsed
2022-02-04/103_RR220204A_408C_1733.bmp,2022-02-04,2022-02-04/RR220204A,103,1733,408,leading_filename_index,parsed
2022-02-04/104_RR220204A_408C_1734.bmp,2022-02-04,2022-02-04/RR220204A,104,1734,408,leading_filename_index,parsed
2022-02-04/105_RR220204A_409C_1735.bmp,2022-02-04,2022-02-04/RR220204A,105,1735,409,leading_filename_index,parsed
2022-02-04/106_RR220204A_430C_1736.bmp,2022-02-04,2022-02-04/RR220204A,106,1736,430,leading_filename_index,parsed
2022-02-04/107_RR220204A_409C_1736.bmp,2022-02-04,2022-02-04/RR220204A,107,1736,409,leading_filename_index,parsed
2022-02-04/108_RR220204A_421C_1736.bmp,2022-02-04,2022-02-04/RR220204A,108,1736,421,leading_filename_index,parsed
2022-02-04/109_RR220204A_437C_1737.bmp,2022-02-04,2022-02-04/RR220204A,109,1737,437,leading_filename_index,parsed
2022-02-04/110_RR220204A_438C_1737.bmp,2022-02-04,2022-02-04/RR220204A,110,1737,438,leading_filename_index,parsed
2022-02-04/111_RR220204A_435C_1737.bmp,2022-02-04,2022-02-04/RR220204A,111,1737,435,leading_filename_index,parsed
2022-02-04/112_RR220204A_442C_1738.bmp,2022-02-04,2022-02-04/RR220204A,112,1738,442,leading_filename_index,parsed
2022-02-04/113_RR220204A_443C_1738.bmp,2022-02-04,2022-02-04/RR220204A,113,1738,443,leading_filename_index,parsed
2022-02-04/114_RR220204A_440C_1738.bmp,2022-02-04,2022-02-04/RR220204A,114,1738,440,leading_filename_index,parsed
2022-02-04/115_RR220204A_441C_1738.bmp,2022-02-04,2022-02-04/RR220204A,115,1738,441,leading_filename_index,parsed
2022-02-04/116_RR220204A_445C_1739.bmp,2022-02-04,2022-02-04/RR220204A,116,1739,445,leading_filename_index,parsed
2022-02-04/117_RR220204A_445C_1740.bmp,2022-02-04,2022-02-04/RR220204A,117,1740,445,leading_filename_index,parsed
2022-02-04/118_RR220204A_445C_1741.bmp,2022-02-04,2022-02-04/RR220204A,118,1741,445,leading_filename_index,parsed
2022-02-04/119_RR220204A_445C_1743.bmp,2022-02-04,2022-02-04/RR220204A,119,1743,445,leading_filename_index,parsed
2022-02-04/120_RR220204A_445C_1744.bmp,2022-02-04,2022-02-04/RR220204A,120,1744,445,leading_filename_index,parsed
2022-02-04/121_RR220204A_444C_1745.bmp,2022-02-04,2022-02-04/RR220204A,121,1745,444,leading_filename_index,parsed
2022-02-04/122_RR220204A_444C_1746.bmp,2022-02-04,2022-02-04/RR220204A,122,1746,444,leading_filename_index,parsed
2022-02-04/123_RR220204A_444C_1747.bmp,2022-02-04,2022-02-04/RR220204A,123,1747,444,leading_filename_index,parsed
2022-02-04/124_RR220204A_444C_1748.bmp,2022-02-04,2022-02-04/RR220204A,124,1748,444,leading_filename_index,parsed
2022-02-04/125_RR220204A_444C_1749.bmp,2022-02-04,2022-02-04/RR220204A,125,1749,444,leading_filename_index,parsed
2022-02-04/126_RR220204A_443C_1750.bmp,2022-02-04,2022-02-04/RR220204A,126,1750,443,leading_filename_index,parsed
2022-02-04/127_RR220204A_461C_1753.bmp,2022-02-04,2022-02-04/RR220204A,127,1753,461,leading_filename_index,parsed
2022-02-04/128_RR220204A_459C_1753.bmp,2022-02-04,2022-02-04/RR220204A,128,1753,459,leading_filename_index,parsed
2022-02-04/129_RR220204A_465C_1753.bmp,2022-02-04,2022-02-04/RR220204A,129,1753,465,leading_filename_index,parsed
2022-02-04/130_RR220204A_463C_1753.bmp,2022-02-04,2022-02-04/RR220204A,130,1753,463,leading_filename_index,parsed
2022-02-04/131_RR220204A_466C_1754.bmp,2022-02-04,2022-02-04/RR220204A,131,1754,466,leading_filename_index,parsed
2022-02-04/132_RR220204A_468C_1754.bmp,2022-02-04,2022-02-04/RR220204A,132,1754,468,leading_filename_index,parsed
2022-02-04/133_RR220204A_467C_1754-01.bmp,2022-02-04,2022-02-04/RR220204A,133,1754-01,467,leading_filename_index,parsed
2022-02-04/134_RR220204A_467C_1754-02.bmp,2022-02-04,2022-02-04/RR220204A,134,1754-02,467,leading_filename_index,parsed
2022-02-04/135_RR220204A_468C_1755.bmp,2022-02-04,2022-02-04/RR220204A,135,1755,468,leading_filename_index,parsed
2022-02-04/136_RR220204A_469C_1755-01.bmp,2022-02-04,2022-02-04/RR220204A,136,1755-01,469,leading_filename_index,parsed
2022-02-04/137_RR220204A_469C_1755-02.bmp,2022-02-04,2022-02-04/RR220204A,137,1755-02,469,leading_filename_index,parsed
2022-02-04/138_RR220204A_470C_1756.bmp,2022-02-04,2022-02-04/RR220204A,138,1756,470,leading_filename_index,parsed
2022-02-04/139_RR220204A_470C_1758.bmp,2022-02-04,2022-02-04/RR220204A,139,1758,470,leading_filename_index,parsed
2022-02-04/140_RR220204A_470C_1759.bmp,2022-02-04,2022-02-04/RR220204A,140,1759,470,leading_filename_index,parsed
2022-02-04/141_RR220204A_471C_1759.bmp,2022-02-04,2022-02-04/RR220204A,141,1759,471,leading_filename_index,parsed
2022-02-04/142_RR220204A_471C_1801.bmp,2022-02-04,2022-02-04/RR220204A,142,1801,471,leading_filename_index,parsed
2022-02-04/143_RR220204A_471C_1802.bmp,2022-02-04,2022-02-04/RR220204A,143,1802,471,leading_filename_index,parsed
2022-02-04/144_RR220204A_473C_1803.bmp,2022-02-04,2022-02-04/RR220204A,144,1803,473,leading_filename_index,parsed
2022-02-04/145_RR220204A_471C_1803.bmp,2022-02-04,2022-02-04/RR220204A,145,1803,471,leading_filename_index,parsed
2022-02-04/146_RR220204A_484C_1804.bmp,2022-02-04,2022-02-04/RR220204A,146,1804,484,leading_filename_index,parsed
2022-02-04/147_RR220204A_486C_1804.bmp,2022-02-04,2022-02-04/RR220204A,147,1804,486,leading_filename_index,parsed
2022-02-04/148_RR220204A_480C_1804.bmp,2022-02-04,2022-02-04/RR220204A,148,1804,480,leading_filename_index,parsed
2022-02-04/149_RR220204A_487C_1804.bmp,2022-02-04,2022-02-04/RR220204A,149,1804,487,leading_filename_index,parsed
2022-02-04/150_RR220204A_487C_1805.bmp,2022-02-04,2022-02-04/RR220204A,150,1805,487,leading_filename_index,parsed
2022-02-04/151_RR220204A_488C_1805-01.bmp,2022-02-04,2022-02-04/RR220204A,151,1805-01,488,leading_filename_index,parsed
2022-02-04/152_RR220204A_488C_1805-02.bmp,2022-02-04,2022-02-04/RR220204A,152,1805-02,488,leading_filename_index,parsed
2022-02-04/153_RR220204A_489C_1806.bmp,2022-02-04,2022-02-04/RR220204A,153,1806,489,leading_filename_index,parsed
2022-02-04/154_RR220204A_489C_1807.bmp,2022-02-04,2022-02-04/RR220204A,154,1807,489,leading_filename_index,parsed
2022-02-04/155_RR220204A_490C_1807.bmp,2022-02-04,2022-02-04/RR220204A,155,1807,490,leading_filename_index,parsed
2022-02-04/156_RR220204A_490C_1808.bmp,2022-02-04,2022-02-04/RR220204A,156,1808,490,leading_filename_index,parsed
2022-02-04/157_RR220204A_498C_1809.bmp,2022-02-04,2022-02-04/RR220204A,157,1809,498,leading_filename_index,parsed
2022-02-04/158_RR220204A_490C_1809.bmp,2022-02-04,2022-02-04/RR220204A,158,1809,490,leading_filename_index,parsed
2022-02-04/159_RR220204A_501C_1809-01.bmp,2022-02-04,2022-02-04/RR220204A,159,1809-01,501,leading_filename_index,parsed
2022-02-04/160_RR220204A_501C_1809-02.bmp,2022-02-04,2022-02-04/RR220204A,160,1809-02,501,leading_filename_index,parsed
2022-02-04/161_RR220204A_504C_1810.bmp,2022-02-04,2022-02-04/RR220204A,161,1810,504,leading_filename_index,parsed
2022-02-04/162_RR220204A_506C_1810-01.bmp,2022-02-04,2022-02-04/RR220204A,162,1810-01,506,leading_filename_index,parsed
2022-02-04/163_RR220204A_506C_1810-02.bmp,2022-02-04,2022-02-04/RR220204A,163,1810-02,506,leading_filename_index,parsed
2022-02-04/164_RR220204A_507C_1811.bmp,2022-02-04,2022-02-04/RR220204A,164,1811,507,leading_filename_index,parsed
2022-02-04/165_RR220204A_508C_1812.bmp,2022-02-04,2022-02-04/RR220204A,165,1812,508,leading_filename_index,parsed
2022-02-04/166_RR220204A_508C_1813.bmp,2022-02-04,2022-02-04/RR220204A,166,1813,508,leading_filename_index,parsed
2022-02-04/167_RR220204A_509C_1814.bmp,2022-02-04,2022-02-04/RR220204A,167,1814,509,leading_filename_index,parsed
2022-02-04/168_RR220204A_508C_1817.bmp,2022-02-04,2022-02-04/RR220204A,168,1817,508,leading_filename_index,parsed
2022-02-04/169_RR220204A_511C_1817.bmp,2022-02-04,2022-02-04/RR220204A,169,1817,511,leading_filename_index,parsed
2022-02-04/170_RR220204A_536C_1818.bmp,2022-02-04,2022-02-04/RR220204A,170,1818,536,leading_filename_index,parsed
2022-02-04/171_RR220204A_531C_1818.bmp,2022-02-04,2022-02-04/RR220204A,171,1818,531,leading_filename_index,parsed
2022-02-04/172_RR220204A_539C_1818.bmp,2022-02-04,2022-02-04/RR220204A,172,1818,539,leading_filename_index,parsed
2022-02-04/173_RR220204A_534C_1818.bmp,2022-02-04,2022-02-04/RR220204A,173,1818,534,leading_filename_index,parsed
2022-02-04/174_RR220204A_527C_1818.bmp,2022-02-04,2022-02-04/RR220204A,174,1818,527,leading_filename_index,parsed
2022-02-04/175_RR220204A_540C_1819.bmp,2022-02-04,2022-02-04/RR220204A,175,1819,540,leading_filename_index,parsed
2022-02-04/176_RR220204A_543C_1820.bmp,2022-02-04,2022-02-04/RR220204A,176,1820,543,leading_filename_index,parsed
