seed,encoder_initialization,learning_rate,epochs,validation_ideal_accuracy,validation_pairwise_accuracy,training_pairwise_accuracy
42,simclr,1e-05,3,0.3333333333333333,1.0,0.7602339181286549
79,simclr,1e-05,3,0.5,0.5,0.8214285714285714
123,simclr,1e-05,3,0.16666666666666666,1.0,0.694300518134715
202,simclr,1e-05,3,0.3,1.0,0.8457446808510638
314,simclr,1e-05,3,0.3,0.5263157894736842,0.6476683937823834
404,simclr,1e-05,3,0.16666666666666666,0.7142857142857143,0.6187845303867403
515,simclr,1e-05,3,0.4666666666666667,0.7142857142857143,0.8
616,simclr,1e-05,3,0.4,0.7333333333333333,0.8781725888324873
717,simclr,1e-05,3,0.43333333333333335,1.0,0.8578947368421053
818,simclr,1e-05,3,0.16666666666666666,0.8,0.7182320441988951
42,simclr,1e-05,10,0.36666666666666664,1.0,0.8245614035087719
79,simclr,1e-05,10,0.4666666666666667,0.5,0.8520408163265306
123,simclr,1e-05,10,0.43333333333333335,1.0,0.9015544041450777
202,simclr,1e-05,10,0.4,1.0,0.9148936170212766
314,simclr,1e-05,10,0.3333333333333333,0.7894736842105263,0.8963730569948186
404,simclr,1e-05,10,0.3,0.8571428571428571,0.8066298342541437
515,simclr,1e-05,10,0.4,0.42857142857142855,0.8057142857142857
616,simclr,1e-05,10,0.4,0.8666666666666667,0.9086294416243654
717,simclr,1e-05,10,0.23333333333333334,1.0,0.8578947368421053
818,simclr,1e-05,10,0.23333333333333334,0.8,0.7790055248618785
42,simclr,1e-05,30,0.16666666666666666,0.8333333333333334,0.7894736842105263
79,simclr,1e-05,30,0.43333333333333335,0.75,0.9540816326530612
123,simclr,1e-05,30,0.5333333333333333,1.0,0.8963730569948186
202,simclr,1e-05,30,0.5333333333333333,1.0,0.9574468085106383
314,simclr,1e-05,30,0.3333333333333333,0.8421052631578947,0.9119170984455959
404,simclr,1e-05,30,0.3333333333333333,0.8571428571428571,0.8839779005524862
515,simclr,1e-05,30,0.4,0.8571428571428571,0.7714285714285715
616,simclr,1e-05,30,0.16666666666666666,0.6666666666666666,0.7106598984771574
717,simclr,1e-05,30,0.4666666666666667,1.0,0.9526315789473684
818,simclr,1e-05,30,0.36666666666666664,0.8,0.9558011049723757
42,simclr,3e-05,3,0.3,1.0,0.8245614035087719
79,simclr,3e-05,3,0.36666666666666664,0.625,0.8979591836734694
123,simclr,3e-05,3,0.3,1.0,0.8497409326424871
202,simclr,3e-05,3,0.5,1.0,0.9468085106382979
314,simclr,3e-05,3,0.16666666666666666,0.5789473684210527,0.7772020725388601
404,simclr,3e-05,3,0.16666666666666666,0.7142857142857143,0.7348066298342542
515,simclr,3e-05,3,0.43333333333333335,1.0,0.8114285714285714
616,simclr,3e-05,3,0.4,0.9333333333333333,0.934010152284264
717,simclr,3e-05,3,0.26666666666666666,1.0,0.9210526315789473
818,simclr,3e-05,3,0.1,0.8,0.7790055248618785
42,simclr,3e-05,10,0.16666666666666666,1.0,0.847953216374269
79,simclr,3e-05,10,0.3333333333333333,0.5,0.8928571428571429
123,simclr,3e-05,10,0.6,1.0,0.9326424870466321
202,simclr,3e-05,10,0.26666666666666666,1.0,0.9148936170212766
314,simclr,3e-05,10,0.1,0.5789473684210527,0.7098445595854922
404,simclr,3e-05,10,0.3,0.8571428571428571,0.856353591160221
515,simclr,3e-05,10,0.3,0.42857142857142855,0.7542857142857143
616,simclr,3e-05,10,0.4666666666666667,0.8,0.9289340101522843
717,simclr,3e-05,10,0.3333333333333333,1.0,0.8526315789473684
818,simclr,3e-05,10,0.16666666666666666,0.8,0.7900552486187845
42,simclr,3e-05,30,0.23333333333333334,1.0,0.7894736842105263
79,simclr,3e-05,30,0.4666666666666667,0.75,0.9693877551020408
123,simclr,3e-05,30,0.5333333333333333,1.0,0.8341968911917098
202,simclr,3e-05,30,0.4666666666666667,1.0,0.9627659574468085
314,simclr,3e-05,30,0.3333333333333333,0.8947368421052632,0.9430051813471503
404,simclr,3e-05,30,0.3333333333333333,0.8571428571428571,0.8950276243093923
515,simclr,3e-05,30,0.43333333333333335,0.8571428571428571,0.7028571428571428
616,simclr,3e-05,30,0.26666666666666666,0.8,0.766497461928934
717,simclr,3e-05,30,0.5333333333333333,1.0,0.9526315789473684
818,simclr,3e-05,30,0.3333333333333333,0.8,0.9558011049723757
42,simclr,0.0001,3,0.26666666666666666,1.0,0.7894736842105263
79,simclr,0.0001,3,0.4,0.75,0.923469387755102
123,simclr,0.0001,3,0.43333333333333335,1.0,0.8186528497409327
202,simclr,0.0001,3,0.6666666666666666,1.0,0.9361702127659575
314,simclr,0.0001,3,0.2,0.631578947368421,0.6839378238341969
404,simclr,0.0001,3,0.26666666666666666,0.8571428571428571,0.8232044198895028
515,simclr,0.0001,3,0.2,0.7142857142857143,0.7428571428571429
616,simclr,0.0001,3,0.36666666666666664,0.8666666666666667,0.9238578680203046
717,simclr,0.0001,3,0.3,1.0,0.9263157894736842
818,simclr,0.0001,3,0.2,0.8,0.8397790055248618
42,simclr,0.0001,10,0.26666666666666666,1.0,0.8304093567251462
79,simclr,0.0001,10,0.4,0.5,0.8877551020408163
123,simclr,0.0001,10,0.5666666666666667,1.0,0.917098445595855
202,simclr,0.0001,10,0.43333333333333335,0.0,0.9148936170212766
314,simclr,0.0001,10,0.7,0.8421052631578947,0.9326424870466321
404,simclr,0.0001,10,0.3333333333333333,0.8571428571428571,0.8453038674033149
515,simclr,0.0001,10,0.6333333333333333,0.8571428571428571,0.7257142857142858
616,simclr,0.0001,10,0.6,0.8666666666666667,0.9137055837563451
717,simclr,0.0001,10,0.4666666666666667,1.0,0.9
818,simclr,0.0001,10,0.13333333333333333,0.6,0.8121546961325967
42,simclr,0.0001,30,0.4666666666666667,1.0,0.8713450292397661
79,simclr,0.0001,30,0.3333333333333333,0.625,0.8112244897959183
123,simclr,0.0001,30,0.6666666666666666,1.0,0.844559585492228
202,simclr,0.0001,30,0.5666666666666667,1.0,0.9202127659574468
314,simclr,0.0001,30,0.8666666666666667,0.8947368421052632,0.9015544041450777
404,simclr,0.0001,30,0.43333333333333335,0.8571428571428571,0.9337016574585635
515,simclr,0.0001,30,0.6666666666666666,0.7142857142857143,0.76
616,simclr,0.0001,30,0.7333333333333333,0.8666666666666667,0.9137055837563451
717,simclr,0.0001,30,0.8,1.0,0.9473684210526315
818,simclr,0.0001,30,0.4666666666666667,0.6,0.9171270718232044
42,simclr,0.0003,3,0.26666666666666666,0.6666666666666666,0.8538011695906432
79,simclr,0.0003,3,0.5,0.625,0.6887755102040817
123,simclr,0.0003,3,0.3,1.0,0.8186528497409327
202,simclr,0.0003,3,0.36666666666666664,1.0,0.776595744680851
314,simclr,0.0003,3,0.43333333333333335,0.5789473684210527,0.6787564766839378
404,simclr,0.0003,3,0.2,1.0,0.8839779005524862
515,simclr,0.0003,3,0.5333333333333333,0.8571428571428571,0.8571428571428571
616,simclr,0.0003,3,0.3333333333333333,0.8666666666666667,0.868020304568528
717,simclr,0.0003,3,0.2,1.0,0.7631578947368421
818,simclr,0.0003,3,0.3,0.6,0.7513812154696132
42,simclr,0.0003,10,0.43333333333333335,0.8333333333333334,0.8888888888888888
79,simclr,0.0003,10,0.36666666666666664,0.625,0.9183673469387755
123,simclr,0.0003,10,0.8333333333333334,1.0,0.9119170984455959
202,simclr,0.0003,10,0.43333333333333335,1.0,0.8457446808510638
314,simclr,0.0003,10,0.5,0.8421052631578947,0.9326424870466321
404,simclr,0.0003,10,0.5666666666666667,0.7142857142857143,0.856353591160221
515,simclr,0.0003,10,0.6,0.8571428571428571,0.7657142857142857
616,simclr,0.0003,10,0.36666666666666664,0.4666666666666667,0.6751269035532995
717,simclr,0.0003,10,0.6666666666666666,1.0,0.9
818,simclr,0.0003,10,0.3333333333333333,0.6,0.7458563535911602
42,simclr,0.0003,30,0.5666666666666667,1.0,0.7777777777777778
79,simclr,0.0003,30,0.7333333333333333,0.75,0.9693877551020408
123,simclr,0.0003,30,0.7,1.0,0.8963730569948186
202,simclr,0.0003,30,0.7666666666666667,1.0,0.9521276595744681
314,simclr,0.0003,30,0.4666666666666667,0.8421052631578947,0.9481865284974094
404,simclr,0.0003,30,0.6,0.8571428571428571,0.8066298342541437
515,simclr,0.0003,30,0.6666666666666666,0.8571428571428571,0.8742857142857143
616,simclr,0.0003,30,0.3,0.8666666666666667,0.934010152284264
717,simclr,0.0003,30,0.5333333333333333,1.0,0.9210526315789473
818,simclr,0.0003,30,0.3333333333333333,0.6,0.9447513812154696
42,imagenet,1e-05,3,0.16666666666666666,0.8333333333333334,0.7719298245614035
79,imagenet,1e-05,3,0.4,0.375,0.6836734693877551
123,imagenet,1e-05,3,0.5333333333333333,1.0,0.6424870466321243
202,imagenet,1e-05,3,0.4666666666666667,1.0,0.9148936170212766
314,imagenet,1e-05,3,0.6,0.7894736842105263,0.8860103626943006
404,imagenet,1e-05,3,0.5,0.5714285714285714,0.8121546961325967
515,imagenet,1e-05,3,0.3333333333333333,0.7142857142857143,0.8057142857142857
616,imagenet,1e-05,3,0.4666666666666667,0.8,0.9137055837563451
717,imagenet,1e-05,3,0.3,1.0,0.8210526315789474
818,imagenet,1e-05,3,0.3,0.6,0.7845303867403315
42,imagenet,1e-05,10,0.5333333333333333,0.8333333333333334,0.8771929824561403
79,imagenet,1e-05,10,0.3,0.5,0.8418367346938775
123,imagenet,1e-05,10,0.5,1.0,0.9326424870466321
202,imagenet,1e-05,10,0.43333333333333335,1.0,0.9042553191489362
314,imagenet,1e-05,10,0.3333333333333333,0.8947368421052632,0.9792746113989638
404,imagenet,1e-05,10,0.6,0.8571428571428571,0.9281767955801105
515,imagenet,1e-05,10,0.2,0.8571428571428571,0.8685714285714285
616,imagenet,1e-05,10,0.6,0.8,0.949238578680203
717,imagenet,1e-05,10,0.43333333333333335,1.0,0.8578947368421053
818,imagenet,1e-05,10,0.43333333333333335,0.6,0.9060773480662984
42,imagenet,1e-05,30,0.5333333333333333,1.0,0.9064327485380117
79,imagenet,1e-05,30,0.5,0.75,0.9795918367346939
123,imagenet,1e-05,30,0.7,1.0,0.9533678756476683
202,imagenet,1e-05,30,0.6,1.0,0.9893617021276596
314,imagenet,1e-05,30,0.3333333333333333,0.8947368421052632,0.9896373056994818
404,imagenet,1e-05,30,0.4666666666666667,1.0,0.9723756906077348
515,imagenet,1e-05,30,0.23333333333333334,0.8571428571428571,0.8857142857142857
616,imagenet,1e-05,30,0.3333333333333333,0.8,0.9035532994923858
717,imagenet,1e-05,30,0.5,1.0,0.968421052631579
818,imagenet,1e-05,30,0.5333333333333333,0.8,0.988950276243094
42,imagenet,3e-05,3,0.5333333333333333,1.0,0.9239766081871345
79,imagenet,3e-05,3,0.4666666666666667,0.75,0.923469387755102
123,imagenet,3e-05,3,0.6666666666666666,1.0,0.8963730569948186
202,imagenet,3e-05,3,0.5333333333333333,1.0,0.9680851063829787
314,imagenet,3e-05,3,0.6333333333333333,0.7894736842105263,0.8808290155440415
404,imagenet,3e-05,3,0.4666666666666667,0.8571428571428571,0.8342541436464088
515,imagenet,3e-05,3,0.4666666666666667,0.8571428571428571,0.9542857142857143
616,imagenet,3e-05,3,0.5666666666666667,0.8,0.9644670050761421
717,imagenet,3e-05,3,0.4666666666666667,1.0,0.8631578947368421
818,imagenet,3e-05,3,0.5,0.8,0.9447513812154696
42,imagenet,3e-05,10,0.6333333333333333,1.0,0.9122807017543859
79,imagenet,3e-05,10,0.4666666666666667,0.75,0.9540816326530612
123,imagenet,3e-05,10,0.4666666666666667,1.0,0.9533678756476683
202,imagenet,3e-05,10,0.4,1.0,0.9521276595744681
314,imagenet,3e-05,10,0.3,0.8947368421052632,0.9740932642487047
404,imagenet,3e-05,10,0.7333333333333333,0.8571428571428571,0.9337016574585635
515,imagenet,3e-05,10,0.3333333333333333,0.8571428571428571,0.8914285714285715
616,imagenet,3e-05,10,0.5,0.8666666666666667,0.9543147208121827
717,imagenet,3e-05,10,0.43333333333333335,1.0,0.9315789473684211
818,imagenet,3e-05,10,0.4666666666666667,0.6,0.9558011049723757
42,imagenet,3e-05,30,0.5666666666666667,1.0,0.935672514619883
79,imagenet,3e-05,30,0.4666666666666667,0.75,0.9642857142857143
123,imagenet,3e-05,30,0.6333333333333333,0.0,0.9637305699481865
202,imagenet,3e-05,30,0.5333333333333333,1.0,0.9893617021276596
314,imagenet,3e-05,30,0.36666666666666664,0.8421052631578947,0.9792746113989638
404,imagenet,3e-05,30,0.5333333333333333,1.0,0.9723756906077348
515,imagenet,3e-05,30,0.6333333333333333,0.8571428571428571,0.92
