seed,budget,strategy,symmetry_mode,epoch,lr,initial_pairs,candidate_pairs,acquisition_mode,job_id,pre_test_accuracy,post_test_accuracy,batch_utility
42,75,uncertainty,none,3,0.0001,50,120,single-shot,seed-42_budget-75_strategy-uncertainty_symmetry-none,0.36666666666666664,0.43333333333333335,0.06666666666666671
303,50,random,none,3,0.0001,50,120,single-shot,seed-303_budget-50_strategy-random_symmetry-none,0.3,0.3333333333333333,0.033333333333333326
42,25,random,none,3,0.0001,50,120,single-shot,seed-42_budget-25_strategy-random_symmetry-none,0.36666666666666664,0.4666666666666667,0.10000000000000003
79,10,random,none,3,0.0001,50,120,single-shot,seed-79_budget-10_strategy-random_symmetry-none,0.5666666666666667,0.43333333333333335,-0.1333333333333333
79,10,uncertainty,none,3,0.0001,50,120,single-shot,seed-79_budget-10_strategy-uncertainty_symmetry-none,0.5666666666666667,0.4,-0.16666666666666663
303,50,uncertainty,none,3,0.0001,50,120,single-shot,seed-303_budget-50_strategy-uncertainty_symmetry-none,0.3,0.4,0.10000000000000003
42,10,random,none,3,0.0001,50,120,single-shot,seed-42_budget-10_strategy-random_symmetry-none,0.36666666666666664,0.43333333333333335,0.06666666666666671
123,100,uncertainty,none,3,0.0001,50,120,single-shot,seed-123_budget-100_strategy-uncertainty_symmetry-none,0.36666666666666664,0.7,0.3333333333333333
42,10,uncertainty,none,3,0.0001,50,120,single-shot,seed-42_budget-10_strategy-uncertainty_symmetry-none,0.36666666666666664,0.5,0.13333333333333336
123,100,random,none,3,0.0001,50,120,single-shot,seed-123_budget-100_strategy-random_symmetry-none,0.36666666666666664,0.4666666666666667,0.10000000000000003
79,75,uncertainty,none,3,0.0001,50,120,single-shot,seed-79_budget-75_strategy-uncertainty_symmetry-none,0.5666666666666667,0.26666666666666666,-0.3
79,50,uncertainty,none,3,0.0001,50,120,single-shot,seed-79_budget-50_strategy-uncertainty_symmetry-none,0.5666666666666667,0.36666666666666664,-0.2
123,50,random,none,3,0.0001,50,120,single-shot,seed-123_budget-50_strategy-random_symmetry-none,0.36666666666666664,0.13333333333333333,-0.2333333333333333
202,25,random,none,3,0.0001,50,120,single-shot,seed-202_budget-25_strategy-random_symmetry-none,0.5333333333333333,0.5,-0.033333333333333326
42,50,uncertainty,none,3,0.0001,50,120,single-shot,seed-42_budget-50_strategy-uncertainty_symmetry-none,0.36666666666666664,0.36666666666666664,0.0
123,50,uncertainty,none,3,0.0001,50,120,single-shot,seed-123_budget-50_strategy-uncertainty_symmetry-none,0.36666666666666664,0.23333333333333334,-0.1333333333333333
202,50,random,none,3,0.0001,50,120,single-shot,seed-202_budget-50_strategy-random_symmetry-none,0.5333333333333333,0.3333333333333333,-0.2
