job_id,seed,selector,encoder_initialization,phase,utility_validation_accuracy,utility_validation_correct,utility_validation_total,source_result,source_sha256,outer_test_accuracy
seed-42_selector-random_init-imagenet_confirmation,42,random,imagenet,confirmation,0.36666666666666664,11,30,../results/local_runs/protocol_diagnostics/encoder_initialization_confirmation/jobs/seed-42_selector-random_init-imagenet_confirmation/result.json,4fc1590f4054eb80cc792907f64dac3640ea2204d8b3a6529b2b9d86ba38377b,0.43333333333333335
seed-42_selector-uncertainty_init-imagenet_confirmation,42,uncertainty,imagenet,confirmation,0.6333333333333333,19,30,../results/local_runs/protocol_diagnostics/encoder_initialization_confirmation/jobs/seed-42_selector-uncertainty_init-imagenet_confirmation/result.json,f499b00ba5f6dd819eb9a42dd9664398f0bbb250d90055daf0578accb4aa198c,0.6666666666666666
seed-79_selector-random_init-imagenet_confirmation,79,random,imagenet,confirmation,0.6666666666666666,20,30,../results/local_runs/protocol_diagnostics/encoder_initialization_confirmation/jobs/seed-79_selector-random_init-imagenet_confirmation/result.json,0e0c39411d890805e4e93864a2e49d24ee5b86bd539e264783ce54617728c360,0.6
seed-79_selector-uncertainty_init-imagenet_confirmation,79,uncertainty,imagenet,confirmation,0.5666666666666667,17,30,../results/local_runs/protocol_diagnostics/encoder_initialization_confirmation/jobs/seed-79_selector-uncertainty_init-imagenet_confirmation/result.json,99c52f68beef38ff191238fe089544c9c2fb694d557c856e3c53684072167b47,0.5
seed-123_selector-random_init-imagenet_confirmation,123,random,imagenet,confirmation,0.6333333333333333,19,30,../results/local_runs/protocol_diagnostics/encoder_initialization_confirmation/jobs/seed-123_selector-random_init-imagenet_confirmation/result.json,817af9594b60420d01007aea5151fea04f300b5a01fe61e477284e5169e2986c,0.7
seed-123_selector-uncertainty_init-imagenet_confirmation,123,uncertainty,imagenet,confirmation,0.6333333333333333,19,30,../results/local_runs/protocol_diagnostics/encoder_initialization_confirmation/jobs/seed-123_selector-uncertainty_init-imagenet_confirmation/result.json,719fb2d3e4daffb89339465b8209ebd79cac11e5a18c7ae2df49f6df8ca24be2,0.7333333333333333
seed-202_selector-random_init-imagenet_confirmation,202,random,imagenet,confirmation,0.6333333333333333,19,30,../results/local_runs/protocol_diagnostics/encoder_initialization_confirmation/jobs/seed-202_selector-random_init-imagenet_confirmation/result.json,ca884de42df725cb25fac79b52b2ba5c792ad8e2dffcff583be6660856f2d35a,0.6
seed-202_selector-uncertainty_init-imagenet_confirmation,202,uncertainty,imagenet,confirmation,0.5333333333333333,16,30,../results/local_runs/protocol_diagnostics/encoder_initialization_confirmation/jobs/seed-202_selector-uncertainty_init-imagenet_confirmation/result.json,e12228e90eef17f097a5dcee575a1efeb4c7f57b922b2ae78b37df499731d343,0.5333333333333333
seed-303_selector-random_init-imagenet_confirmation,303,random,imagenet,confirmation,0.6666666666666666,20,30,../results/local_runs/protocol_diagnostics/encoder_initialization_confirmation/jobs/seed-303_selector-random_init-imagenet_confirmation/result.json,746dfda2777a49a19512e5037f3b474259a474a2b615d7374d9c51e5d2ad2c98,0.6333333333333333
seed-303_selector-uncertainty_init-imagenet_confirmation,303,uncertainty,imagenet,confirmation,0.6666666666666666,20,30,../results/local_runs/protocol_diagnostics/encoder_initialization_confirmation/jobs/seed-303_selector-uncertainty_init-imagenet_confirmation/result.json,b2c36dbf812fdefa7ecfdeccc572f2e03017df0d4ff6e28fd4c217e91fe364be,0.5333333333333333
