job_id,seed,selector,lr,phase,utility_validation_accuracy,utility_validation_correct,utility_validation_total,source_result,source_sha256,outer_test_accuracy
seed-42_selector-random_lr-3e-04_confirmation,42,random,0.0003,confirmation,0.4666666666666667,14,30,/content/rl_quantum_2026summer/code/results/local_runs/protocol_diagnostics/learning_rate_confirmation/jobs/seed-42_selector-random_lr-3e-04_confirmation/result.json,696e08294597f6b04b28e40c43900575b691ca85adb3a6fee8d7fe56aad14e7b,0.5333333333333333
seed-42_selector-uncertainty_lr-3e-04_confirmation,42,uncertainty,0.0003,confirmation,0.4,12,30,/content/rl_quantum_2026summer/code/results/local_runs/protocol_diagnostics/learning_rate_confirmation/jobs/seed-42_selector-uncertainty_lr-3e-04_confirmation/result.json,eb0a3400cca0e749cefc39390d3f5e9119063750876658d660d355cecdbd36a3,0.36666666666666664
seed-79_selector-random_lr-3e-04_confirmation,79,random,0.0003,confirmation,0.7333333333333333,22,30,/content/rl_quantum_2026summer/code/results/local_runs/protocol_diagnostics/learning_rate_confirmation/jobs/seed-79_selector-random_lr-3e-04_confirmation/result.json,69a4230a55c1275f5750957c6efbba4e7d612b295b00ea46650f290f174de337,0.8666666666666667
seed-79_selector-uncertainty_lr-3e-04_confirmation,79,uncertainty,0.0003,confirmation,0.4,12,30,/content/rl_quantum_2026summer/code/results/local_runs/protocol_diagnostics/learning_rate_confirmation/jobs/seed-79_selector-uncertainty_lr-3e-04_confirmation/result.json,c7851a9ecdc87219f78ac4afb66980a3a958b32de804648ae6889bab2a48e2a0,0.4666666666666667
seed-123_selector-random_lr-3e-04_confirmation,123,random,0.0003,confirmation,0.43333333333333335,13,30,/content/rl_quantum_2026summer/code/results/local_runs/protocol_diagnostics/learning_rate_confirmation/jobs/seed-123_selector-random_lr-3e-04_confirmation/result.json,9752f9fbfe077384cadffa63c71b9c5a1a468152ccbdec16a0f16cb50a270fc3,0.4
seed-123_selector-uncertainty_lr-3e-04_confirmation,123,uncertainty,0.0003,confirmation,0.5333333333333333,16,30,/content/rl_quantum_2026summer/code/results/local_runs/protocol_diagnostics/learning_rate_confirmation/jobs/seed-123_selector-uncertainty_lr-3e-04_confirmation/result.json,df61575a7657a426fb5055110abb5471327f832226b211bf84e557c9aa28dbaa,0.6
seed-202_selector-random_lr-3e-04_confirmation,202,random,0.0003,confirmation,0.5,15,30,/content/rl_quantum_2026summer/code/results/local_runs/protocol_diagnostics/learning_rate_confirmation/jobs/seed-202_selector-random_lr-3e-04_confirmation/result.json,c27c6207a5fb81151f00348af2bffd398bd7a6298d83a792a289eb21963bf1cb,0.4666666666666667
seed-202_selector-uncertainty_lr-3e-04_confirmation,202,uncertainty,0.0003,confirmation,0.6666666666666666,20,30,/content/rl_quantum_2026summer/code/results/local_runs/protocol_diagnostics/learning_rate_confirmation/jobs/seed-202_selector-uncertainty_lr-3e-04_confirmation/result.json,ebcd3e925c45f37748468f37e323e95a0b5d1400bf381d09d9f1a19ea687e4cd,0.6333333333333333
seed-303_selector-random_lr-3e-04_confirmation,303,random,0.0003,confirmation,0.4666666666666667,14,30,/content/rl_quantum_2026summer/code/results/local_runs/protocol_diagnostics/learning_rate_confirmation/jobs/seed-303_selector-random_lr-3e-04_confirmation/result.json,0b46fda1a120307d7efed268e04552fa3a70793e469dc2686b6a5a5004a78fae,0.36666666666666664
seed-303_selector-uncertainty_lr-3e-04_confirmation,303,uncertainty,0.0003,confirmation,0.6333333333333333,19,30,/content/rl_quantum_2026summer/code/results/local_runs/protocol_diagnostics/learning_rate_confirmation/jobs/seed-303_selector-uncertainty_lr-3e-04_confirmation/result.json,c941a0e12f1e72122892b8defde041ce91a8522ff6d58be4a472d368ef7cc623,0.5
