budget,strategy,symmetry_mode,n,post_test_accuracy_mean,post_test_accuracy_std,batch_utility_mean,batch_utility_std
10,random,none,5,0.4133333333333334,0.06497862896539311,-0.013333333333333308,0.1016530045465127
10,uncertainty,none,5,0.38666666666666666,0.08366600265340757,-0.03999999999999998,0.17224014243685085
25,random,none,5,0.4333333333333333,0.12692955176439846,0.006666666666666687,0.2073644135332772
25,uncertainty,none,5,0.44000000000000006,0.1256096245427785,0.013333333333333341,0.20221001184137471
50,random,none,5,0.32666666666666666,0.11642832797715322,-0.09999999999999998,0.12692955176439846
50,uncertainty,none,5,0.3,0.11303883305208781,-0.12666666666666665,0.1920648038785058
75,random,none,5,0.29333333333333333,0.04346134936801765,-0.13333333333333333,0.1414213562373095
75,uncertainty,none,5,0.38,0.14063348739819323,-0.04666666666666665,0.1773258143769385
100,random,none,5,0.49333333333333335,0.0760116950066092,0.06666666666666668,0.17638342073763935
100,uncertainty,none,5,0.6466666666666667,0.2022100118413747,0.22000000000000003,0.2577681990557494
